disease,protein,common_interactor_score,common_interactor_score_pvalue,degree,frac_direct_interactions,frac_direct_interactions_pvalue
GO:0140101,81890,0.022040776718074688,0.406,17,0.0,1.0
GO:0140101,5859,0.2578420552741847,0.008,166,0.15873015873015872,0.008
GO:0140101,23395,0.06548388463471122,0.007,5,0.0,1.0
GO:0140101,112487,0.034558802398622246,0.053,4,0.0,1.0
GO:0140101,54888,0.15460420833428667,0.016,72,0.015873015873015872,0.234
GO:0140101,144233,0.04421701162249398,0.018,3,0.0,1.0
GO:0140101,55278,0.1421404848811607,0.002,3,0.015873015873015872,0.002
GO:0140101,7407,0.21917235995135204,0.012,88,0.047619047619047616,0.021
GO:0140101,60528,0.10855259658468094,0.035,50,0.031746031746031744,0.048
GO:0140101,55157,0.14066243287632976,0.002,19,0.015873015873015872,0.034
GO:0140101,55798,0.02184433875161369,0.229,5,0.0,1.0
GO:0140101,51067,0.0874503809876136,0.03,26,0.015873015873015872,0.079
GO:0005272,10021,0.7900660761168684,0.002,9,0.13043478260869565,0.002
GO:0005272,41,0.02857938562199797,0.04,11,0.0,1.0
GO:0005272,6324,0.1825539573837434,0.003,4,0.043478260869565216,0.005
GO:0005272,348980,0.9231791303512477,0.001,6,0.13043478260869565,0.001
GO:0005272,6326,0.26421965054519087,0.001,6,0.043478260869565216,0.002
GO:0005272,6327,0.026582636851927827,0.05,86,0.043478260869565216,0.022
GO:0005272,57657,0.7263428235626127,0.0,3,0.08695652173913043,0.0
GO:0005272,6329,0.07590316444964192,0.006,10,0.0,1.0
GO:0005272,6330,0.2084667675539747,0.001,2,0.043478260869565216,0.005
GO:0005272,6331,0.173207568701446,0.001,33,0.0,1.0
GO:0005272,6334,0.04113574876474654,0.012,5,0.0,1.0
GO:0005272,3775,0.010366397794194585,0.147,11,0.0,1.0
GO:0005272,6336,0.0,1.0,2,0.0,1.0
GO:0005272,6337,0.1803345154414767,0.002,23,0.08695652173913043,0.002
