,common_interactor_score,common_interactor_score_pvalue,degree,frac_direct_interactions,frac_direct_interactions_pvalue
count,13983.0,13983.0,13983.0,13983.0,13983.0
mean,0.149779964747365,0.17614467567760853,72.02946434956733,0.06055978780804803,0.5278028320102982
std,0.19093472647202672,0.2840819308508111,126.22235293989229,0.11292434029987497,0.46474850791805894
min,0.0,0.0,1.0,0.0,0.0
25%,0.027665494635491138,0.006,11.0,0.0,0.027
50%,0.08540495668115893,0.031,29.0,0.012345679012345678,0.448
75%,0.1956707182477469,0.212,76.0,0.07142857142857142,1.0
max,1.956441230537843,1.0,2132.0,1.0,1.0
<= 0.05,,0.5702638918686977,,,0.31223628691983124
