entrez_id	essentiality	data_source
221143	Non-essential	PMID:26472760,PMID:18239125
79669	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
9861	Essential	PMID:26472758,PMID:26472760,PMID:19490893,PMID:18239125,PMID:26627737
93953	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
9700	Essential	PMID:26472758,PMID:21746896,PMID:18239125,PMID:26627737
84279	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
55083	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
8723	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125,PMID:26627737
348094	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125,PMID:26627737
90113	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
283212	Non-essential	PMID:26472758,PMID:26472760,PMID:26627737
5413	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
3185	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125,PMID:26627737
8893	Essential	PMID:26472758,PMID:26472760,PMID:18239125,PMID:26627737
197	Non-essential	PMID:26472758,PMID:26472760
5597	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
9718	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
10494	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
686	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
80128	Non-essential	PMID:26472758,PMID:26472760,PMID:19490893,PMID:18239125
200185	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125,PMID:26627737
3577	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
22979	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
58509	Essential	PMID:26472758,PMID:26472760,PMID:18239125,PMID:26627737
7203	Essential	PMID:26472758,PMID:26472760,PMID:19490893,PMID:18239125,PMID:26627737
1499	Non-essential	PMID:21746896,PMID:26472760,PMID:18239125,PMID:26627737,PMID:26472758
5366	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
92017	Non-essential	PMID:26472758,PMID:18239125
333	Non-essential	PMID:26472758,PMID:26472760,PMID:19490893,PMID:18239125
442866	Non-essential	PMID:18239125
4774	Non-essential	PMID:26472758,PMID:26472760,PMID:18239125
