,lci,rw
C0007621,0.516804485129888,0.48753775494012735
C0036202,0.07317811703588373,0.1258023415223503
C0004245,0.2598406555690018,0.19969798476296022
C1865866,0.06361588603444557,0.07219434690636034
C1840069,0.32333588231655097,0.1329192694220209
C0266387,,0.17327107291383642
C0151747,0.0844278477087594,0.0568704426864716
C0151908,0.36695856424582407,0.3354068563440928
C0021361,0.15804454018989963,0.20662676036647296
C0265677,0.27360987696014155,0.3333946592235715
C1836735,0.3596948765858392,0.37008877711525645
C0011854,0.38862942667288675,0.3418579518837959
C0157733,0.15420146413148542,0.27122664046242106
C0021051,0.4228443113121839,0.4311899331877769
C1857287,0.5138798008706067,0.4799638906006355
C0013421,0.24425851993436243,0.19084563938136714
C0027658,0.006594810700806969,0.17391318427496963
C0279626,0.39810910922954923,0.33820843496947794
C0000786,0.42368772552368733,0.37709567860356685
C0079154,0.10407917679401647,0.03165480025048681
C1843367,0.331388931226912,0.3626912705424608
C0006142,0.40610379856681417,0.2124275358170994
C4021254,0.25853655205085857,0.2984333246924706
C0022346,0.17025019078803086,0.16081571893456803
C0033860,0.4367193911242269,0.4311770576162496
C0017979,0.1357360900665277,0.19948619199866516
C3665386,0.21466346778114254,0.1996934774639188
C0553730,0.04925493972664364,0.18461304127316058
C0011206,0.350335374740476,0.03908840835093156
C0497552,0.13508868227220447,0.141980108154148
C0042963,0.2900685877897958,0.2270477653476924
C0027960,0.17335469900112865,0.03411701558062555
C0017574,0.02663537092573924,-0.0049875690251097735
C0029456,0.4305118868521441,0.38932202054398213
C0151818,0.020531506864083053,0.03391871343838306
C1843156,0.3215240302858939,0.22768250298153775
C0007785,0.2674879199296694,0.08539629388076611
C4280612,0.31051587227900324,0.2689944522173786
C2985290,,0.16722216241778534
C0018843,0.18373366523721685,0.2508927846192464
C0596263,0.04073100480425961,0.3582318281383642
C4048273,0.05583221736231009,0.055490609750523716
C1860121,0.36053185137275856,0.372557129025655
C0678230,0.36047870585491787,0.34294427330031024
C0344531,0.13813338921631946,0.1173404288556445
C2931822,0.38826457089847116,0.30778081478796104
C0268362,0.2809413626967944,0.11997043384500372
C4024996,0.08811261625611452,0.024685246516644454
C3278923,0.3039630253976562,0.2955510617342425
C0019163,0.31219123906045465,0.20510106180974677
C0575059,0.23440278782040389,0.09531027628515475
C0431371,0.16540552501825773,0.1191511363785543
C0333641,0.15999521591394664,0.22546177347511825
C1853235,0.15234565104405196,0.06942052876697305
C0021400,0.2449518807274849,0.1811169780591981
C0002514,0.253776483175781,0.04606939535263104
C2674432,0.3847303879566842,0.375931328503602
C0432040,0.3968632853375507,0.3360522206059864
C1843700,0.17895833138352496,0.06448579961669229
C0311394,0.23312122252568598,0.13385967494433432
C2677378,,0.07697778653590623
C4020847,0.21638176705802695,0.2568286425916406
C0038013,0.27266088608464967,0.342032921142691
C0036920,0.39148359273303074,0.34978184780019494
C0544755,0.17403831464198385,0.1509051260806134
C0033941,0.2890105231672582,0.23216644991061078
C0005910,-0.0003922538479355434,0.02270109185595834
C0008297,0.3275481618226123,0.26159084701468704
C0029442,0.05012481790029004,0.10679101252167653
C1857640,0.3337236893073665,0.14169213506694456
C0520459,0.2152890800401835,0.1956457688339373
C1850135,0.18182461247566065,0.08555058348935744
C0020461,0.27759950708649866,0.07265817632705784
C3278811,0.24068957606588928,0.24368834939763592
C1843005,0.14711609663294498,0.10136945787572627
C4025616,0.37560874639831165,0.04025606376595902
C2266639,0.11552736464921078,0.2724571315051112
C0239989,0.0764608450050921,0.1330026160682652
C1846449,0.25478076872981015,0.010040130746580932
C0266399,0.4493090254945572,0.36642077503242365
C0525045,0.48732180169541806,0.43956893294931443
C1319853,0.2564873098988314,0.18098307170688754
C1136179,0.26760169161344577,0.13373569130872134
C0345996,0.19361559974262385,0.1323731939980928
C0008519,0.18509095564031325,0.1648038633390363
C0086439,0.08809426773673318,0.10108199329272934
C0740392,0.3827301864688086,0.35663620620212855
C0085762,0.20574056965610996,0.27609526228247133
C0020302,0.1934584644267015,0.18198588124968854
C0432103,0.021399674425152764,0.25789998411037757
C0008350,-0.0018516870886016122,0.05892212412612422
C0007384,0.04211115340160775,0.1456753690492834
C3463824,0.29314143571598045,0.3224584054375951
C1844548,0.25080246426232466,0.2147888917701939
C0277959,0.2972674479516432,0.27114415407941483
C0242339,0.2747349025470404,0.3526636301494047
C0162298,0.2529195663908003,0.21540020793870332
C3887875,0.14882628034304596,0.09187346755415361
C1321884,0.2735363860828045,0.2915106942849604
C3278401,0.16706126048798,0.22653887436516212
C0948023,0.12558605971567507,0.20689195353457163
C0277828,0.24425564831155513,0.21314571705905097
C1855285,0.23829964910344012,0.2376277347346558
C4280629,0.40720218177949935,0.14026120609004006
C0004763,0.1349619426135915,0.16504748719503728
C0002736,0.0798654607992608,0.37829682715406626
C1263846,0.3497022255164164,0.3488029274476986
C0025160,0.3420135654093612,0.3041002177333456
C0241910,0.24271432597347806,0.31442146001488264
C0006111,0.11807727902150071,0.18517682593179716
C2931456,0.08177626685447112,0.170829347524112
C2751582,0.6011323320369525,0.4719988242390519
C1969372,,0.010774194405929376
C0266061,0.2787818735155257,0.21776904286183343
C4024737,0.11548508302381423,0.20396926326911255
C0037822,0.17547164863806386,0.2374653785197554
C0476403,0.278708739680367,0.1679315963888187
C0581354,0.11551900285462822,0.04619457000493105
C0920299,,0.09642306237317297
C1843921,0.2670459418305568,0.11441504973643656
C4021724,-0.00022773854230595712,0.20009108327001393
C0581381,0.19145063183367644,0.2634384096696307
C0232461,0.04283527955948827,0.19535008685091476
C0262431,0.12384697685927702,0.26898248660890706
C0432355,0.09961637987269005,0.02179457319729173
C1862265,0.015667984298141344,0.13261604267419969
C4024641,0.23316785338378943,0.21667859722296634
C0152438,0.13941223497667782,0.28653527341531076
C0398623,0.4914785255789938,0.3993029166859322
C0034013,0.12445105475727729,0.2297131085114586
C4020874,0.31095552478951266,0.29749902485124724
C0006625,0.3603338238717945,0.2829207509842014
C0272027,0.2685993172955503,0.34553394679037613
C1445953,,0.05665622991494095
C0020625,0.2313240568506804,0.14796590310849378
C0241355,0.38084843479215746,0.33895267407026897
C0221263,0.325592354999226,0.34760531524204613
C0035309,0.22982541082065888,0.2357925606535474
C0162429,0.1970478950299416,0.026511057687858733
C0003469,0.3606609154720027,0.3157730807510273
C1290857,0.07016839296417819,0.02594925328782529
C0424295,0.3627921381216471,0.3679583271963994
C1846435,0.33288541372209307,0.044498454113769625
C0079772,0.398998256417525,0.3019077960211387
C0730290,0.2193212255263023,0.09288866703061092
C4083050,0.2503232813749871,0.24266404845994474
C0221356,0.3591671272876029,0.28115305933425155
C0018553,0.10620950873216022,0.08184211940281248
C0033054,0.22042681692071897,0.13390767630060899
C0036337,0.04238829770047361,0.24617626849822255
C0265563,0.25590058248808656,0.22569890657632435
C0008372,,0.19033251239098925
C0004509,0.053854181797568124,0.25807840406578536
C2675111,0.22781242199153426,0.10460972132689877
C0155320,0.4778141557098369,0.23490894081803126
C4020813,0.4029022516715745,0.2710127747501806
C0029463,0.34746895930749516,0.33624846770928135
C4020855,0.29683610521976705,0.2603813432550018
C0349506,0.4170638568714865,0.2578038673989177
C0030312,0.274772254832705,0.16321908891364625
C0015923,0.026788241056333754,0.24543020419390496
C0158465,0.2633867119777381,0.3086945606966273
C0020179,0.05998702829806377,0.0735556647477764
C1956257,0.14347718828948935,0.3761330051235288
C1837463,0.37376274009815613,0.20882805461814213
C1842774,0.41824100193079855,0.3000578782979623
C0234132,0.09855026096630348,0.09445039252413727
C0006663,0.3190366778844794,0.3859112126685195
C1860475,0.6350220687812484,0.30836157699797356
C4280616,0.12386564896969274,0.3148754603386484
C1837108,0.19295605738837,0.1562811152939352
C1866730,0.23321353014788063,0.15219685047463044
C0376358,0.06812656024656642,0.23042893206405568
C3887524,0.16304707989037293,0.07335403520573844
C0520966,0.0013257263781361515,0.02106770895123701
C0751837,0.23653389692365084,0.20914832963920824
C0151576,0.3165619377808508,0.2343164214091313
C0013362,0.34934855689447997,0.3469928517985835
C0233315,0.24440597637804454,0.26104691382441486
C0013080,0.16435959313476634,0.22702803257977433
C2265792,0.04553452639830208,0.1966300894161598
C0028949,0.16094930332041696,0.09833866105726534
C0878544,0.47580487622324086,0.3959727809372674
C0031117,0.34488715416769855,0.325982642937817
C0029443,0.24426741617269135,0.1767498854352849
C0241011,0.10209589724238614,0.3155875379828156
C1866141,0.19712711737465202,0.1814012452791423
C1136249,0.038642785572294384,0.1390249504439829
C1849937,0.26295840777964574,0.2289086796817707
C0155119,0.4385522526280479,0.02106628861827579
C0236175,-0.0048561820818301855,0.09086326838685421
C0003862,0.3584540864926978,0.36023701802124364
C4280678,0.19935959743523324,0.11556707367468749
C0017601,0.25088019725183536,0.22067570607038586
C0232466,0.22799645550947378,0.23590558685991184
C1836184,0.14822900710018153,0.15011554614943798
C0036421,0.02755432054798492,0.14385156446634406
C0034880,,
C1833118,0.47967486604419624,0.17501791742386763
C0035412,0.2907459421782149,0.17267656673620427
C1860236,0.2871084102173704,0.22154057942774072
C1853738,0.26490093536335374,0.25218227480866273
C4280656,0.3250974615609577,0.29283750176214735
C0018989,0.2607713024958556,0.20553364314620448
C0751778,0.35382885942771125,0.2079118370107899
C2930812,0.24809607302488965,0.07779350919772118
C0000889,0.14689800094173386,0.2161760674949354
C4072836,0.36068537324608,0.14931507773977024
C0023015,0.23660855388679058,0.23289657259384444
C1408258,0.07467593367675973,0.11352822531889144
C0220697,,0.03997301668647108
C0010036,-0.0006064698687929625,-0.0007109572526452105
C0262361,0.29223407642347893,0.16239190783095217
C4021776,0.33164850303329746,0.35300759697310796
C0522214,0.11131658629847788,0.07536284801926887
C0009024,0.5305580043341668,0.17765592804380687
C0240421,0.2802699440203976,0.2344058327480465
C0027055,0.4684823211712131,0.40871300252846327
C0003872,0.42024520502065255,0.4402664568512201
C0032209,0.12055243391002941,0.0820434252754916
C0427546,0.14022672318463622,0.26264691603390333
C1836996,0.12784310200483373,0.024214795457340142
C0268237,0.5958781261641084,0.24840956178097226
C1850496,0.06439330806913657,0.13928326383628717
C0034194,0.1558002634099268,0.18203999614237953
C4021551,0.3889516959977288,0.3214497051844063
C0241703,0.25892397624192626,0.19364899494901197
C0232939,0.314974067228609,0.36886800670473835
C0009763,0.2238174936566134,0.22340354600342066
C0751688,0.27051008216338235,0.25385759309524225
C0162670,0.2615490952132481,0.1861831896649041
C0016202,0.35603861338964365,0.37872324485680087
C3665349,0.12815278652416667,0.2741630543431015
C0043202,0.45311025136906063,0.3003563413929367
C0020428,0.04834532880111593,0.09748434673908007
C0007114,0.3027306271059379,0.3268535995903731
C1836509,0.5843944557504144,0.5396660384634151
C0426970,0.20917044104907162,0.05627167565412357
C0007786,0.3516200786604257,0.44192479381948824
C0020455,0.06505690277386622,0.09498601697078797
C0158733,0.12407319784369204,0.22775773413652758
C0426891,0.2560943530267742,0.3746611967915625
C0262404,0.21870435302088975,0.18737562524333295
C0575167,0.09855599995598234,0.13589488064141908
C4012968,0.12610107402681275,
C0011848,0.04602827778354048,0.2250492803018544
C4280807,0.14698433689189985,0.1916493189766431
C0024305,0.2340942625791686,0.19240920602856743
C0022521,,0.0694598049998141
C0427149,0.12464646545082281,0.10512239869344712
C0745730,0.15224253890594902,0.20682794139815344
C0021296,0.43327373007004716,0.4341225712177248
C0018564,0.3976808100385935,0.2590158254710152
C0265221,0.10846936460880635,0.07861077131682222
C0005586,0.46813665272448135,0.44736574060288686
C1844527,0.13532933231764632,0.26937234691178874
C0239138,0.13538464315728335,0.08890042203740346
C1866234,0.2914006673660319,0.23593532075216142
C0349588,0.39846987149043595,0.4024051096878329
C0341787,0.143786726356932,0.2654238844011008
C0376480,0.2468255891476375,0.19585683400158546
C0025289,0.3413321809142309,0.3672226641307794
C0005695,0.44549231892515034,0.4149537807383725
C0700208,0.41830964822503397,0.40946798166238235
C1849367,0.3277967238950954,0.3448673998395346
C0151699,0.26035610674600596,0.22164355973291014
C0034012,0.38755183069461685,0.38215153107599437
C1855020,0.7996598486238155,0.7128684372775248
C0018021,0.10911897185933049,0.07013856966515454
C0344530,,0.08603405234735266
C0027794,0.10291202850336031,0.22640844612097283
C0010606,0.3952625253604209,0.3856264702997159
C0023520,0.3975500407607693,0.3294436039688567
C0521573,0.03563061710226546,0.06693080223358461
C0020678,0.23768266021141862,0.1298636679344743
C1856872,0.1911433278048011,0.2301581979785811
C0008924,0.34167269336683437,0.32068724767656553
C0004096,0.4098092169546489,0.3808945872346382
C1321329,-0.0008536081055780911,-0.0018259095280047934
C0033774,0.3670937088220785,0.26144242777268034
C0025958,0.09399310941440353,0.16719720562384402
C0231686,-0.0057621728636545,0.12056578770193378
C0553692,0.31101772019721163,0.07473348255251688
C1263857,0.012780984906962913,0.09329533345019816
C0027430,0.15783044732027884,0.009101777446312147
C0158646,0.4274983265451342,0.27139719634069853
C0266052,0.039625703788283985,0.012116734149870525
C2315100,0.32523235625488606,0.294870395671436
C0234144,0.009745484804051071,0.21010276198694255
C0028960,0.07174002324422994,0.1114086068766258
C0020676,0.2286027374249635,0.2763932130495383
C0027819,0.40001406708036563,0.3747431525246631
C0233514,0.21759977556452173,0.2429311302218488
C3887611,0.06931102547208907,0.1236376935373259
C0018991,0.16360039846714622,
C0554970,0.43703377588414466,0.2437908788232173
C1837731,0.18005608171480542,0.1725513283264955
C1844505,0.030968438166173975,0.2821468848725294
C3552713,0.23570999646792706,0.19311805205779756
C0027080,0.24897682665575124,0.045150217167143694
C4021107,0.3671358668884235,0.2346863314307748
C0008312,0.33232390600411044,0.2132308699335521
C0023882,0.08718080275763562,0.06425667216284756
C0154676,0.2560011389900362,0.07255746387434997
C0027497,0.2092158409723064,0.1760383411257059
C0013404,0.32783903459623953,0.37318552434660995
C1836543,0.12668978982318344,0.06753023388154675
C1847906,0.020235151958806905,0.0807849954970675
C0162154,0.25139437327059555,0.1855324289670597
C0151632,0.33918189934483495,0.303132094752359
C1847584,0.09005247862205334,0.2229698533358633
C0021359,0.13527582452373563,0.20894500396637808
C0266295,0.03421386002106878,0.2100238796428893
C0085636,0.20058716695913992,0.17548407718143344
C3203358,-0.00012877852368520947,0.04360591329653502
C1854114,0.3999062423001477,0.39600078336564326
C0003486,0.40877670993952303,-0.004168888884635182
C1844592,0.18273976330899755,0.11621685482681184
C0238669,0.2263052859984244,0.16240247559747015
C1859399,0.1506191041477898,0.0862248292295617
C0334013,0.32739316602814494,0.07677119366098555
C0587246,0.1181228040364403,0.03768773176554792
C1856694,0.042611168108999536,0.02235727647434652
C0023798,0.11389801950057084,0.19295047251506595
C0037315,0.1964909456982009,0.027293457595257756
C0026650,0.1528554864339807,0.21585415613314549
C0001768,0.26400282673894676,0.2795508728199978
C0175754,0.3200146842789458,0.3076919316292574
C1512419,0.33941159046297315,0.3177534339073598
C0221629,0.25834088118116905,0.24503065387570455
C0239105,0.346191222070726,0.2887512683847776
C0685695,0.004312852150009156,0.22781536799065522
C4280495,0.408036369926697,0.38310981480651435
C1837066,0.14185757879647112,0.1784666628114352
C0578038,0.3154817614639997,0.30439330735734005
C0854110,,0.24248580504774606
C0239998,0.27292062797010536,0.24702995853237128
C0011570,0.5003323049961556,0.46823486691148963
C0399526,0.43606180442642245,0.41521182130732015
C0085602,0.12194809302321045,0.16213456564748333
C0149931,0.2630868064272396,0.3612197968717447
C0973461,0.05764413272164106,0.22910608413070474
C4021768,0.34736275472960026,0.3140244711367643
C0035410,0.2980610990721308,0.145110489551514
C0006267,0.31299945463365075,0.23205284461379114
C0542519,0.19027409685385122,0.32585895091924505
C0476254,,0.1919972460658827
C0236736,0.45089695896335324,0.40759358805418827
C0340543,0.3142369955348556,0.2126599091835809
C1856468,0.2569785742232349,0.23649378884695457
C0438717,0.28295352657225503,0.2253202403921641
C0270685,0.19142120321342693,0.3351877284179566
C0029422,0.31462378266387997,0.2878544311558169
C0542518,0.06101533832921314,0.07189118397719975
C0042373,0.041867364894799884,0.1648853209913816
C0036349,0.12556406178423044,0.18925345314024422
C0014866,0.07478294085657641,0.13860080067598274
C0017668,0.23417497335702592,0.2521973108266749
C0037268,0.20471441221302555,0.21164540735313875
C1858120,0.02109849707846783,0.10115402507514007
C0028077,0.1668508464815776,0.11880572759190657
C2051831,0.41554476827061415,0.41374421476562123
C0431447,0.19597445768886027,0.1833104811807828
C1389016,,0.2327978904212552
C0856863,0.0877416189619186,0.07049648801389181
C1861329,0.06486471510227773,0.22247929710816755
C0854107,0.227694498812583,-0.0023298319660435946
C0042580,0.20262937355370683,0.26293525026591985
C0038358,0.11733346655491458,0.1725928779551289
C1849075,0.13551830467168194,0.08446734040438404
C0858867,0.3334106135578102,0.11138594090209454
C0036508,,0.009166906649533076
C0149630,0.13062575893699996,0.0736214682906863
C0545053,0.16428413301964123,0.27868101376929083
C3551426,0.06426901321648296,0.06316023252288128
C0086795,0.5277697223423631,0.5939267998367017
C0032617,0.04450610025215761,0.14689422150276332
C0426429,0.15401333885727905,0.18417195686298904
C0009404,0.46590164702228265,0.4241964102727897
C0427068,0.1233612436037373,0.1694233967159146
C1837249,0.13350501236252613,0.09446698538550874
C4011556,0.3523534754754653,0.1352759204479537
C0917801,-0.0012133539637985567,0.14032653537917553
C0020473,0.20182431289004454,0.3071900897199204
C0030044,0.24346056141936606,-0.0020986833608505825
C0853087,0.32264028256648647,0.11822346651232972
C4022588,-0.0029908131681121992,0.2075356182856147
C0021831,-0.0027433335869050707,0.0388034938529165
C0857973,0.2749387478378326,0.2813974716258752
C0015310,0.16627657959606534,0.06318924848157939
C0020672,0.31692347874828464,0.31913874796144176
C0002452,0.11331294347173061,0.07430065217915528
C1846228,0.4296968075066743,0.31705504353195
C1389280,0.09100833043744117,0.1994747600948466
C0856975,0.12022305835932144,0.13328093760831716
C0028326,0.26279615605022283,0.2655872861832237
C3277059,0.29664883254901236,0.16885328980090689
C1850072,0.2303954807796355,0.06191240170658698
C0011609,0.06166208317534739,0.2820583725667091
C0031149,0.040337826098001336,0.05454299447732033
C1847879,0.22045607124947028,0.17147796463452422
C0006118,0.07313612807030573,0.34355623228443505
C0030354,0.20365908606864427,0.329267535501761
C0011860,0.45580970115595965,0.44394316985920035
C0241654,0.4248794656154767,0.40684730436105243
C0678222,0.18835495480987813,0.20615524736600888
C0750937,0.15653929315743584,0.08024890824668116
C1806780,0.10480175632500605,0.04304115529862371
C0022548,0.2695087696929091,0.2833236744778797
C1836195,0.2659186388769139,0.2629998836940429
C0025322,0.011699555548911347,0.06749418740740427
C0476273,0.15782921506263523,0.24848682376177933
C0011884,,0.27161384297072894
C1842060,0.2711308724358868,0.17631259002609237
C1527311,0.24960135420333376,0.33580119280900084
C0018824,0.1723063085172579,0.26038192941272265
C0332606,,
C4025662,0.39372628613489347,0.3081096982103666
C0426817,0.2936590916850883,0.231188941821684
C1848736,0.18157813646987767,0.2310788878216663
C0002880,0.1873005804127505,0.24185348097374687
C1856749,0.15899933826391177,0.22244744254445997
C0020507,0.14862834047122758,0.21513564744542665
C0018781,0.4250825750406887,0.13628594460384383
C1704375,0.02722732649915601,0.1640669522055331
C1860493,0.37124822008981084,0.32016603401760485
C1858285,0.04638511030257643,0.13970948603986938
C1856660,0.01377050056821745,
C0002888,,-0.0035254201022370335
C0013595,0.2884842104065069,0.29624793994998816
C0023794,,0.07442944165293261
C1333990,0.021592161636533633,0.17163808589063756
C0027092,0.3210170829020474,0.2880979594780681
C4280269,0.3677704524312612,0.2610125548659872
C1837087,,0.12506690780138788
C4021741,0.05237267546992476,0.09033274359203848
C1868577,0.30004067017366853,0.15567635563575885
C0032285,0.4159723742297704,0.4757156317269655
C0948740,0.400280666159325,0.21516451077005028
C1849020,0.35294102763810853,0.318600257474291
C4021664,0.13172343243334758,0.1502175431967326
C4023616,0.11447923681079217,0.1305969952634957
C1855710,0.09872200894010878,0.2457999714244992
C0027404,0.16650064599220188,0.17182606493551683
C3806283,0.26430703141226725,0.26077152660133635
C0265783,0.2186221329350404,0.25974452343932325
C1112256,0.15516354934411208,0.2312823840373684
C1167713,0.10359043006631982,0.2257674019362773
C0040053,0.3779366123857543,0.4012769544670137
C0241210,0.34149079964557294,0.31835219994873565
C0013581,0.24247568082503693,0.06801375221105922
C0265660,0.2975324900631962,0.296351184911725
C0085298,0.3271677397238291,0.24098785751079668
C0262374,0.26038038665277147,0.18960712372623634
C0014038,,0.020387568279634633
C0004106,0.1773178313968045,0.10868313706162959
C0162809,0.39796575639323917,0.355191253649589
C1846347,0.09798373476133967,0.10340075812188826
C0019151,0.2874923080542678,0.2475612080680572
C1855340,0.3335030906803734,0.20128437703937976
C2609414,0.44140661892149113,0.3593123201493526
C0034065,0.2480550483468819,0.3141760753683
C0042109,0.25804128152514716,0.31341755280501976
C1837142,0.4198033885429533,0.1427979831280552
C0152013,0.42187986966128466,0.4133879405784231
C1838681,0.15633062699753608,0.08067088493319355
C0023892,0.39549002761650714,0.34637031626803827
C0677776,0.411303907940769,0.33319085693926603
C0235942,0.38414721678596103,0.19436184681304014
C0037286,0.4880831539227727,0.4055230443328569
C1837899,0.611465578110418,
C4280652,0.05805468457525194,0.10093782737766414
C0085109,0.08388099317214061,0.02219230311423557
C0010346,0.4178742552426505,0.3961882361664742
C0699743,0.09441778304710306,0.06342675738979961
C0010417,0.4135673227858933,0.4113796497155269
C1691215,0.3562048233727865,0.34670912356938227
C0853193,,0.2499643220169671
C0454555,0.02694777512361145,0.08047234530730168
C0016506,0.12338254865499139,0.14735079473593402
C0151723,0.4807380050136944,0.06933654335533523
C1853141,0.3422091958132433,0.3168563454530744
C0028797,0.16565233349117334,0.18532980681685315
C0222716,0.18196018914741313,0.13596480269305494
C0741796,0.13488721229828415,0.19478041087486506
C1861403,0.3506579896415763,0.32496553637674414
C0023380,0.22734620071022207,0.2238580797100855
C0036095,0.0638518690130094,0.2285531833062356
C1837279,0.1641844986846163,0.03562455826105412
C2936346,0.03974055117573187,0.043941152504984864
C1854494,0.25050034083005784,0.27513532613801966
C0023530,0.28805821694001066,0.24416591085563916
C1838662,0.17624046037143148,0.09955451386306256
C1836635,0.4228637387209306,0.4077093161478647
C0011616,0.33923874127426534,0.3326463734234263
