,common_interactor_score,common_interactor_score_pvalue,degree,frac_direct_interactions,frac_direct_interactions_pvalue
count,75744.0,75744.0,75744.0,75744.0,75744.0
mean,0.1649199069805545,0.29354905999155045,68.56940483734685,0.023709123371038573,0.5737171525137307
std,0.23949546468416238,0.3030620288292529,118.19615912759103,0.05200944015700549,0.42892136857845337
min,0.0,0.0,1.0,0.0,0.0
25%,0.028182489523568114,0.028,13.0,0.0,0.104
50%,0.08276057300102245,0.181,31.0,0.0035486160397444995,0.635
75%,0.19587220430637897,0.496,76.0,0.025,1.0
max,4.413287031342511,1.0,2132.0,0.9230769230769231,1.0
<= 0.05,,0.31227555978031263,,,0.17943335445711872
