node_1	node_2	roles
9474	416	common_disease-disease
9474	417	common_disease-disease
9474	1177	common_disease-disease
13317	4520	pred_lci-common_pred_lci
10117	3630	pred_lci-common_pred_lci
10117	10117	pred_lci-pred_lci
1800	26	disease-common_disease
1800	28	disease-common_disease
1800	109	disease-common_pred_lci
1800	1241	disease-common_disease
1800	1246	disease-common_disease
1800	1359	disease-common_disease
1800	1800	disease-disease
1800	11241	disease-common_disease
1800	11542	disease-common_disease
2570	416	common_disease-disease
2570	417	common_disease-disease
2570	1177	common_disease-disease
2570	1241	common_disease-common_disease
2570	2570	common_disease-common_disease
7051	109	common_pred_lci-common_pred_lci
7051	416	common_pred_lci-disease
7051	417	common_pred_lci-disease
7051	1177	common_pred_lci-disease
7051	1241	common_pred_lci-common_disease
7051	1246	common_pred_lci-common_disease
7051	1578	common_pred_lci-disease
7051	7051	common_pred_lci-common_pred_lci
7051	8505	common_pred_lci-common_disease
7051	21527	common_pred_lci-pred_lci
11542	26	common_disease-common_disease
11542	28	common_disease-common_disease
11542	1177	common_disease-disease
11542	1359	common_disease-common_disease
11542	11241	common_disease-common_disease
23	23	common_disease-common_disease
23	1570	common_disease-common_disease
23	3628	common_disease-disease
23	3993	common_disease-common_pred_lci
23	10213	common_disease-disease
1177	26	disease-common_disease
1177	28	disease-common_disease
1177	413	disease-common_disease
1177	414	disease-common_disease
1177	1241	disease-common_disease
1177	1246	disease-common_disease
1177	1359	disease-common_disease
1177	2366	disease-common_pred_lci
1177	3484	disease-common_pred_lci
1177	3993	disease-common_pred_lci
1177	7096	disease-common_pred_lci
1177	8505	disease-common_disease
1177	11241	disease-common_disease
3993	416	common_pred_lci-disease
3993	1570	common_pred_lci-common_disease
3993	3503	common_pred_lci-pred_lci
3993	3504	common_pred_lci-common_pred_lci
3993	3993	common_pred_lci-common_pred_lci
3993	5093	common_pred_lci-common_disease
537	3625	common_disease-disease
537	3626	common_disease-common_disease
537	3628	common_disease-disease
3484	1578	common_pred_lci-disease
3484	3484	common_pred_lci-common_pred_lci
3484	3503	common_pred_lci-pred_lci
3484	3504	common_pred_lci-common_pred_lci
6171	3625	common_disease-disease
6171	3626	common_disease-common_disease
6171	3628	common_disease-disease
6171	5093	common_disease-common_disease
6171	5211	common_disease-common_disease
6171	6171	common_disease-common_disease
26	26	common_disease-common_disease
26	28	common_disease-common_disease
26	416	common_disease-disease
26	417	common_disease-disease
26	1241	common_disease-common_disease
26	1359	common_disease-common_disease
26	5796	common_disease-common_disease
26	11241	common_disease-common_disease
28	416	common_disease-disease
28	417	common_disease-disease
28	1241	common_disease-common_disease
28	1359	common_disease-common_disease
28	11241	common_disease-common_disease
416	413	disease-common_disease
416	414	disease-common_disease
416	417	disease-disease
416	3745	disease-common_disease
416	5796	disease-common_disease
416	8505	disease-common_disease
416	11241	disease-common_disease
417	413	disease-common_disease
417	414	disease-common_disease
417	3745	disease-common_disease
417	5796	disease-common_disease
417	8505	disease-common_disease
417	11241	disease-common_disease
1570	1570	common_disease-common_disease
1570	3628	common_disease-disease
1570	5796	common_disease-common_disease
1570	7096	common_disease-common_pred_lci
1570	10213	common_disease-disease
3745	7096	common_disease-common_pred_lci
5796	5796	common_disease-common_disease
5796	7096	common_disease-common_pred_lci
413	1241	common_disease-common_disease
414	414	common_disease-common_disease
414	1241	common_disease-common_disease
4520	1731	common_pred_lci-disease
4520	4520	common_pred_lci-common_pred_lci
4520	5211	common_pred_lci-common_disease
3625	3626	disease-common_disease
3625	3628	disease-disease
3625	5093	disease-common_disease
3625	5211	disease-common_disease
3625	14191	disease-common_disease
3625	19377	disease-common_disease
3625	20210	disease-common_disease
1578	1578	disease-disease
3626	3628	common_disease-disease
3626	5093	common_disease-common_disease
3626	5211	common_disease-common_disease
3626	14191	common_disease-common_disease
3626	20210	common_disease-common_disease
3628	5093	disease-common_disease
3628	5211	disease-common_disease
3628	14191	disease-common_disease
3628	19377	disease-common_disease
3628	20210	disease-common_disease
3630	2363	common_pred_lci-common_pred_lci
3630	2364	common_pred_lci-pred_lci
3630	3126	common_pred_lci-common_pred_lci
3630	3630	common_pred_lci-common_pred_lci
3630	10213	common_pred_lci-disease
3503	3504	pred_lci-common_pred_lci
3503	7096	pred_lci-common_pred_lci
3503	10213	pred_lci-disease
3503	18771	pred_lci-common_pred_lci
3504	3504	common_pred_lci-common_pred_lci
3504	7096	common_pred_lci-common_pred_lci
3504	10213	common_pred_lci-disease
