node_id,degree,lci_weight,protein_id,protein_name,role
1842,2,,2693,GHSR,disease
3625,25,,5256,PHKA2,disease
3628,45,,5261,PHKG2,disease
1731,3,,2542,SLC37A4,disease
1800,38,,2639,GCDH,disease
416,15,,593,BCKDHA,disease
417,12,,594,BCKDHB,disease
2068,7,,2998,GYS2,disease
10213,22,,23417,MLYCD,disease
1578,37,,2203,FBP1,disease
1177,41,,1629,DBT,disease
13317,1,,54020,SLC37A1,pred_lci
4520,65,0.13221392785503316,6462,SHBG,common_pred_lci
3503,19,,5095,PCCA,pred_lci
3993,246,0.0705067844466714,5728,PTEN,common_pred_lci
3504,21,0.29190874711457043,5096,PCCB,common_pred_lci
18771,7,1.1470083943544145,84693,MCEE,common_pred_lci
3484,426,0.12426008095105034,5071,PRKN,common_pred_lci
7096,461,-0.036552018466055686,10075,HUWE1,common_pred_lci
10117,4,,23305,ACSL6,pred_lci
3630,24,0.8713321104077254,5264,PHYH,common_pred_lci
21527,1,,392465,GLOD5,pred_lci
7051,259,0.10000842995591346,10013,HDAC6,common_pred_lci
2364,24,,3418,IDH2,pred_lci
109,276,0.15457584190042892,154,ADRB2,common_pred_lci
3126,47,0.31837849655968237,4597,MVD,common_pred_lci
2363,59,0.21769618106371133,3417,IDH1,common_pred_lci
2366,33,0.4868803335567585,3420,IDH3B,common_pred_lci
5093,1001,0.04375913339226741,7157,TP53,common_disease
3626,21,0.13413150467396445,5257,PHKB,common_disease
5211,178,0.005768077371362125,7337,UBE3A,common_disease
14191,43,0.04233418793613878,55715,DOK4,common_disease
19377,82,0.1264941070472374,221937,FOXK1,common_disease
20210,9,0.5377920866012573,244416,,common_disease
537,28,0.07258999572541981,758,MPPED1,common_disease
6171,224,0.28300289684421115,8924,HERC2,common_disease
1570,115,0.19015758735559596,2194,FASN,common_disease
23,84,-0.07348544048884469,31,ACACA,common_disease
11241,65,0.1737795415314652,27034,ACAD8,common_disease
26,88,0.29894856687731947,34,ACADM,common_disease
28,47,0.2676429637701168,36,ACADSB,common_disease
1359,98,0.060416670424374735,1892,ECHS1,common_disease
11542,64,0.23298993706703186,28976,ACAD9,common_disease
1241,113,0.29541208806867303,1738,DLD,common_disease
1246,48,0.09447004870879679,1743,DLST,common_disease
3745,44,0.02435225159877638,5423,POLB,common_disease
9474,11,0.4673638479466341,152926,PPM1K,common_disease
5796,1228,0.01930817783728716,8452,CUL3,common_disease
2570,14,0.46945692579742704,3712,IVD,common_disease
8505,28,0.31667590207513086,15185,,common_disease
413,35,0.30022893961966773,586,BCAT1,common_disease
414,15,0.3546343563564453,587,BCAT2,common_disease
