,common_interactor_score,common_interactor_score_pvalue,degree,frac_direct_interactions,frac_direct_interactions_pvalue
count,75744.0,75744.0,75744.0,75744.0,75744.0
mean,0.15920168146507907,0.30408296366708915,68.56940483734685,0.023709123371038573,0.5737914554288128
std,0.23674586081031912,0.3066860295989628,118.19615912759103,0.05200944015700549,0.42945454372450353
min,0.0,0.0,1.0,0.0,0.0
25%,0.027480127954165226,0.03,13.0,0.0,0.1
50%,0.07792821665776689,0.2,31.0,0.0035486160397444995,0.64
75%,0.1857320922484895,0.51,76.0,0.025,1.0
max,4.3827509000673555,1.0,2132.0,0.9230769230769231,1.0
<= 0.05,,0.30485583016476553,,,0.18871461765948458
