node_1	node_2	roles
4096	17	common_pred_lci-common_pred_lci
4096	265	common_pred_lci-common_disease
4096	331	common_pred_lci-common_pred_lci
4096	385	common_pred_lci-common_pred_lci
4096	386	common_pred_lci-common_pred_lci
4096	1062	common_pred_lci-common_pred_lci
4096	1278	common_pred_lci-common_disease
4096	2033	common_pred_lci-common_pred_lci
4096	2123	common_pred_lci-common_pred_lci
4096	3050	common_pred_lci-common_pred_lci
4096	3516	common_pred_lci-common_disease
4096	4174	common_pred_lci-common_pred_lci
4096	4176	common_pred_lci-common_pred_lci
4096	4246	common_pred_lci-common_pred_lci
4096	4247	common_pred_lci-common_pred_lci
4096	7864	common_pred_lci-common_pred_lci
4096	7967	common_pred_lci-disease
6657	408	common_disease-common_pred_lci
6657	478	common_disease-disease
6657	480	common_disease-disease
6657	1972	common_disease-common_disease
6657	2207	common_disease-common_pred_lci
6657	4101	common_disease-disease
6657	4648	common_disease-common_pred_lci
6657	5093	common_disease-common_pred_lci
6657	5193	common_disease-common_pred_lci
6657	5198	common_disease-common_disease
6657	5718	common_disease-common_disease
6657	6727	common_disease-common_pred_lci
6657	9820	common_disease-common_pred_lci
6657	11581	common_disease-common_disease
6657	13131	common_disease-common_pred_lci
6657	17417	common_disease-common_disease
6657	18510	common_disease-disease
4098	478	common_disease-disease
4098	480	common_disease-disease
4098	754	common_disease-common_pred_lci
4098	814	common_disease-common_pred_lci
4098	1206	common_disease-common_pred_lci
4098	2033	common_disease-common_pred_lci
4098	2123	common_disease-common_pred_lci
4098	2124	common_disease-common_disease
4098	2315	common_disease-common_pred_lci
4098	3050	common_disease-common_pred_lci
4098	3374	common_disease-common_disease
4098	3380	common_disease-common_pred_lci
4098	3516	common_disease-common_disease
4098	3881	common_disease-common_pred_lci
4098	4246	common_disease-common_pred_lci
4098	4247	common_disease-common_pred_lci
4098	4248	common_disease-common_pred_lci
4098	4484	common_disease-common_pred_lci
4098	4965	common_disease-common_pred_lci
4098	5193	common_disease-common_pred_lci
4098	5661	common_disease-common_pred_lci
4098	5732	common_disease-common_pred_lci
4098	5824	common_disease-disease
4098	6013	common_disease-common_pred_lci
4098	6302	common_disease-common_pred_lci
4098	9886	common_disease-common_disease
4098	14879	common_disease-common_pred_lci
4098	15069	common_disease-common_disease
5123	17	common_pred_lci-common_pred_lci
5123	49	common_pred_lci-common_pred_lci
5123	100	common_pred_lci-common_pred_lci
5123	144	common_pred_lci-disease
5123	234	common_pred_lci-common_disease
