node_id,degree,protein_id,protein_name,role
7967,113,11200,CHEK2,disease
4101,146,5888,RAD51,disease
478,609,672,BRCA1,disease
480,90,675,BRCA2,disease
3437,5,5002,SLC22A18,disease
3202,88,4683,NBN,disease
3652,82,5290,PIK3CA,disease
18510,20,84142,ABRAXAS1,disease
144,378,207,AKT1,disease
17580,40,79728,PALB2,disease
5824,51,8493,PPM1D,disease
18442,20,83990,BRIP1,disease
5784,9,8438,RAD54L,disease
5346,13,7516,XRCC2,disease
14143,36,55655,NLRP2,pred_lci
385,134,545,ATR,common_pred_lci
6727,196,9656,MDC1,common_pred_lci
3050,132,4436,MSH2,common_pred_lci
331,218,472,ATM,common_pred_lci
7125,119,10111,RAD50,common_pred_lci
252,2132,351,APP,common_pred_lci
448,100,641,BLM,common_pred_lci
2083,307,3014,H2AFX,common_pred_lci
2315,900,3320,HSP90AA1,common_pred_lci
2033,87,2956,MSH6,common_pred_lci
1556,74,2177,FANCD2,common_pred_lci
5332,55,7486,WRN,common_pred_lci
3044,130,4361,MRE11,common_pred_lci
4965,323,7013,TERF1,common_pred_lci
4966,267,7014,TERF2,common_pred_lci
2988,198,4292,MLH1,common_pred_lci
4173,96,5981,RFC1,common_pred_lci
5976,87,8678,BECN1,common_pred_lci
9772,47,22900,CARD8,common_pred_lci
5348,45,7518,XRCC4,common_pred_lci
2438,224,3551,IKBKB,common_pred_lci
847,219,1147,CHUK,common_pred_lci
1776,304,2597,GAPDH,common_pred_lci
5846,465,8517,IKBKG,common_pred_lci
13289,6,53832,IL20RA,pred_lci
7814,27,11009,IL24,common_pred_lci
3881,312,5591,PRKDC,common_pred_lci
2925,470,4193,MDM2,common_pred_lci
2926,78,4194,MDM4,common_pred_lci
6225,87,9025,RNF8,common_pred_lci
386,58,546,ATRX,common_pred_lci
13379,162,54386,TERF2IP,common_pred_lci
408,282,580,BARD1,common_pred_lci
10822,62,25920,NELFB,common_pred_lci
4648,260,6613,SUMO2,common_pred_lci
6504,54,9400,RECQL5,common_pred_lci
4246,494,6117,RPA1,common_pred_lci
4247,471,6118,RPA2,common_pred_lci
4248,399,6119,RPA3,common_pred_lci
2207,333,3181,HNRNPA2B1,common_pred_lci
644,83,898,CCNE1,common_pred_lci
399,51,571,BACH1,common_pred_lci
4633,203,6599,SMARCC1,common_pred_lci
4635,188,6601,SMARCC2,common_pred_lci
7451,265,10524,KAT5,common_pred_lci
1062,615,1457,CSNK2A1,common_pred_lci
1450,547,2033,EP300,common_pred_lci
4141,63,5932,RBBP8,common_pred_lci
2044,50,2968,GTF2H4,common_pred_lci
5683,125,8295,TRRAP,common_pred_lci
1206,529,1660,DHX9,common_pred_lci
7864,64,11073,TOPBP1,common_pred_lci
7096,461,10075,HUWE1,common_pred_lci
1733,285,2547,XRCC6,common_pred_lci
6597,239,9513,FXR2,common_pred_lci
5193,1647,7316,UBC,common_pred_lci
4552,135,6502,SKP2,common_pred_lci
4174,94,5982,RFC2,common_pred_lci
1487,97,2071,ERCC3,common_pred_lci
4176,96,5984,RFC4,common_pred_lci
15570,34,64421,DCLRE1C,common_pred_lci
3410,129,4957,ODF2,common_pred_lci
7896,146,11116,FGFR1OP,common_pred_lci
100,286,142,PARP1,common_pred_lci
5350,233,7520,XRCC5,common_pred_lci
2281,175,3276,PRMT1,common_pred_lci
1660,79,2314,FLII,common_pred_lci
6013,483,8726,EED,common_pred_lci
5657,135,8237,USP11,common_pred_lci
12558,17,50484,RRM2B,common_pred_lci
12686,17,51032,CELA2B,common_pred_lci
1199,156,1653,DDX1,common_pred_lci
5816,274,8481,OFD1,common_pred_lci
2763,135,3981,LIG4,common_pred_lci
9820,266,22976,PAXIP1,common_pred_lci
5732,240,8353,HIST1H3E,common_pred_lci
1004,247,1386,ATF2,common_pred_lci
18679,172,84464,SLX4,common_pred_lci
16895,29,203259,FAM219A,common_pred_lci
3380,1965,4914,NTRK1,common_pred_lci
5243,88,7375,USP4,common_pred_lci
4484,234,6421,SFPQ,common_pred_lci
2484,451,3608,ILF2,common_pred_lci
2776,258,4000,LMNA,common_pred_lci
2806,18,4046,LSP1,pred_lci
11261,114,27076,LYPD3,common_pred_lci
49,187,71,ACTG1,common_pred_lci
4649,73,6615,SNAI1,common_pred_lci
5016,25,7069,THRSP,common_pred_lci
6402,70,9261,MAPKAPK2,common_pred_lci
3869,202,5579,PRKCB,common_pred_lci
6757,11,9687,GREB1,common_pred_lci
3933,17,5653,KLK6,common_pred_lci
4096,46,5883,RAD9A,common_pred_lci
12933,136,51366,UBR5,common_pred_lci
1419,1866,1994,ELAVL1,common_pred_lci
2197,134,3164,NR4A1,common_pred_lci
5275,610,7415,VCP,common_pred_lci
5284,466,7428,VHL,common_pred_lci
1345,142,1869,E2F1,common_pred_lci
13642,50,54904,NSD3,common_pred_lci
5093,1001,7157,TP53,common_pred_lci
5094,175,7158,TP53BP1,common_pred_lci
6126,16,8863,PER3,common_pred_lci
14448,83,56254,RNF20,common_pred_lci
11120,69,26574,AATF,common_pred_lci
7161,256,10155,TRIM28,common_pred_lci
4,24,10,NAT2,common_pred_lci
6282,53,9100,USP10,common_pred_lci
17,389,25,ABL1,common_pred_lci
814,92,1111,CHEK1,common_pred_lci
17334,38,79035,NABP2,common_pred_lci
13131,75,51720,UIMC1,common_pred_lci
4698,441,6667,SP1,common_pred_lci
17514,32,79648,MCPH1,common_pred_lci
4982,23,7031,TFF1,common_pred_lci
2309,600,3312,HSPA8,common_pred_lci
4632,173,6598,SMARCB1,common_pred_lci
12694,58,51053,GMNN,common_pred_lci
5661,148,8243,SMC1A,common_pred_lci
6302,144,9126,SMC3,common_pred_lci
1058,88,1453,CSNK1D,common_pred_lci
3752,345,5430,POLR2A,common_pred_lci
5928,143,8626,TP63,common_pred_lci
19373,21,221927,BRAT1,common_pred_lci
18499,44,84126,ATRIP,common_pred_lci
4164,419,5970,RELA,common_pred_lci
2123,611,3065,HDAC1,common_pred_lci
3787,124,5469,MED1,common_pred_lci
722,58,990,CDC6,common_pred_lci
3803,356,5499,PPP1CA,common_pred_lci
3805,308,5501,PPP1CC,common_pred_lci
2144,182,3091,HIF1A,common_pred_lci
4064,100,5830,PEX5,common_pred_lci
1003,198,1385,CREB1,common_pred_lci
750,163,1020,CDK5,common_pred_lci
754,247,1025,CDK9,common_pred_lci
1655,81,2309,FOXO3,common_pred_lci
