node_1	node_2	roles
6667	324	common_disease-common_disease
6667	747	common_disease-common_disease
6667	1676	common_disease-common_disease
6667	1928	common_disease-disease
6667	3380	common_disease-common_disease
6667	3516	common_disease-common_disease
6667	3612	common_disease-common_disease
6667	3634	common_disease-common_disease
6667	3893	common_disease-common_disease
6667	4965	common_disease-common_disease
6667	5102	common_disease-disease
6667	6667	common_disease-common_disease
6667	6707	common_disease-common_disease
6667	6884	common_disease-common_disease
6667	7052	common_disease-common_disease
6667	7096	common_disease-common_disease
3603	63	common_pred_lci-common_pred_lci
3603	64	common_pred_lci-common_pred_lci
3603	164	common_pred_lci-common_pred_lci
3603	252	common_pred_lci-common_pred_lci
3603	475	common_pred_lci-disease
3603	775	common_pred_lci-common_pred_lci
3603	1444	common_pred_lci-common_pred_lci
3603	1445	common_pred_lci-common_pred_lci
3603	1446	common_pred_lci-common_pred_lci
3603	1730	common_pred_lci-common_disease
3603	1776	common_pred_lci-common_pred_lci
3603	3380	common_pred_lci-common_disease
3603	3476	common_pred_lci-common_disease
3603	3513	common_pred_lci-common_pred_lci
3603	3516	common_pred_lci-common_disease
3603	3604	common_pred_lci-pred_lci
3603	3609	common_pred_lci-common_pred_lci
3603	3610	common_pred_lci-common_pred_lci
3603	3893	common_pred_lci-common_disease
3603	3952	common_pred_lci-common_disease
3603	5102	common_pred_lci-disease
3603	5359	common_pred_lci-common_disease
3603	6728	common_pred_lci-common_disease
3603	10995	common_pred_lci-common_pred_lci
3603	10997	common_pred_lci-common_pred_lci
3603	17626	common_pred_lci-common_pred_lci
3603	20129	common_pred_lci-common_pred_lci
3604	63	pred_lci-common_pred_lci
3604	64	pred_lci-common_pred_lci
3604	162	pred_lci-disease
3604	164	pred_lci-common_pred_lci
3604	475	pred_lci-disease
3604	1444	pred_lci-common_pred_lci
3604	1445	pred_lci-common_pred_lci
3604	1446	pred_lci-common_pred_lci
3604	1776	pred_lci-common_pred_lci
3604	3513	pred_lci-common_pred_lci
3604	3604	pred_lci-pred_lci
3604	3609	pred_lci-common_pred_lci
3604	3610	pred_lci-common_pred_lci
3604	5193	pred_lci-common_pred_lci
3604	7009	pred_lci-common_pred_lci
3604	10995	pred_lci-common_pred_lci
3604	10997	pred_lci-common_pred_lci
3604	17626	pred_lci-common_pred_lci
3604	20129	pred_lci-common_pred_lci
3609	63	common_pred_lci-common_pred_lci
3609	64	common_pred_lci-common_pred_lci
3609	162	common_pred_lci-disease
3609	164	common_pred_lci-common_pred_lci
3609	475	common_pred_lci-disease
3609	747	common_pred_lci-common_disease
3609	1444	common_pred_lci-common_pred_lci
3609	1445	common_pred_lci-common_pred_lci
3609	1446	common_pred_lci-common_pred_lci
3609	1521	common_pred_lci-common_disease
3609	1628	common_pred_lci-common_disease
3609	1655	common_pred_lci-common_pred_lci
3609	1676	common_pred_lci-common_disease
3609	1716	common_pred_lci-common_disease
3609	1776	common_pred_lci-common_pred_lci
3609	2315	common_pred_lci-common_disease
3609	2740	common_pred_lci-common_disease
3609	2910	common_pred_lci-common_disease
3609	3380	common_pred_lci-common_disease
3609	3516	common_pred_lci-common_disease
3609	3893	common_pred_lci-common_disease
3609	3952	common_pred_lci-common_disease
3609	5032	common_pred_lci-common_disease
3609	5102	common_pred_lci-disease
3609	5359	common_pred_lci-common_disease
3609	6707	common_pred_lci-common_disease
3609	6728	common_pred_lci-common_disease
3609	6884	common_pred_lci-common_disease
3609	7052	common_pred_lci-common_disease
3609	7096	common_pred_lci-common_disease
3609	10995	common_pred_lci-common_pred_lci
3609	20129	common_pred_lci-common_pred_lci
3610	63	common_pred_lci-common_pred_lci
3610	64	common_pred_lci-common_pred_lci
3610	164	common_pred_lci-common_pred_lci
3610	475	common_pred_lci-disease
3610	1444	common_pred_lci-common_pred_lci
3610	1446	common_pred_lci-common_pred_lci
3610	1776	common_pred_lci-common_pred_lci
3610	10995	common_pred_lci-common_pred_lci
3610	20129	common_pred_lci-common_pred_lci
3612	252	common_disease-common_pred_lci
3612	1444	common_disease-common_pred_lci
3612	1628	common_disease-common_disease
3612	1716	common_disease-common_disease
3612	1730	common_disease-common_disease
3612	1928	common_disease-disease
3612	2150	common_disease-disease
3612	2740	common_disease-common_disease
3612	3380	common_disease-common_disease
3612	3476	common_disease-common_disease
3612	4684	common_disease-common_disease
3612	4965	common_disease-common_disease
3612	5032	common_disease-common_disease
3612	5102	common_disease-disease
3612	9996	common_disease-common_disease
3612	12996	common_disease-common_disease
3612	13945	common_disease-common_disease
10284	162	common_disease-disease
10284	1278	common_disease-common_disease
10284	1521	common_disease-common_disease
10284	1716	common_disease-common_disease
10284	4990	common_disease-common_pred_lci
10284	5102	common_disease-disease
10284	5170	common_disease-common_disease
10284	10284	common_disease-common_disease
10284	10995	common_disease-common_pred_lci
5170	747	common_disease-common_disease
5170	1443	common_disease-disease
5170	1676	common_disease-common_disease
5170	1716	common_disease-common_disease
5170	1776	common_disease-common_pred_lci
5170	2150	common_disease-disease
5170	2315	common_disease-common_disease
5170	2910	common_disease-common_disease
5170	3380	common_disease-common_disease
5170	5193	common_disease-common_pred_lci
5170	5796	common_disease-common_pred_lci
5170	6884	common_disease-common_disease
5170	7052	common_disease-common_disease
5170	7096	common_disease-common_disease
5170	10166	common_disease-common_disease
6707	162	common_disease-disease
6707	791	common_disease-common_disease
6707	1444	common_disease-common_pred_lci
6707	1776	common_disease-common_pred_lci
6707	1928	common_disease-disease
6707	2315	common_disease-common_disease
6707	2740	common_disease-common_disease
6707	2844	common_disease-disease
6707	3634	common_disease-common_disease
6707	5032	common_disease-common_disease
6707	10995	common_disease-common_pred_lci
20530	60	common_disease-disease
20530	1443	common_disease-disease
20530	1676	common_disease-common_disease
20530	4996	common_disease-common_pred_lci
20530	4998	common_disease-common_pred_lci
3634	144	common_disease-common_disease
3634	2127	common_disease-common_disease
3634	2844	common_disease-disease
3634	5102	common_disease-disease
56	56	common_pred_lci-common_pred_lci
56	58	common_pred_lci-common_pred_lci
56	59	common_pred_lci-common_disease
56	60	common_pred_lci-disease
56	456	common_pred_lci-common_pred_lci
56	465	common_pred_lci-common_pred_lci
56	1443	common_pred_lci-disease
56	2498	common_pred_lci-common_pred_lci
56	2841	common_pred_lci-common_disease
56	3476	common_pred_lci-common_disease
56	4996	common_pred_lci-common_pred_lci
56	4998	common_pred_lci-common_pred_lci
56	5191	common_pred_lci-common_disease
56	6499	common_pred_lci-common_pred_lci
56	7009	common_pred_lci-common_pred_lci
58	58	common_pred_lci-common_pred_lci
58	59	common_pred_lci-common_disease
58	60	common_pred_lci-disease
58	456	common_pred_lci-common_pred_lci
58	1169	common_pred_lci-common_pred_lci
58	1443	common_pred_lci-disease
58	1814	common_pred_lci-disease
58	2498	common_pred_lci-common_pred_lci
58	4998	common_pred_lci-common_pred_lci
58	4999	common_pred_lci-common_pred_lci
59	1443	common_disease-disease
59	1814	common_disease-disease
59	2315	common_disease-common_disease
59	2498	common_disease-common_pred_lci
59	2842	common_disease-common_pred_lci
59	4996	common_disease-common_pred_lci
59	4998	common_disease-common_pred_lci
59	6499	common_disease-common_pred_lci
60	1278	disease-common_disease
60	1443	disease-disease
60	2315	disease-common_disease
60	2498	disease-common_pred_lci
60	2841	disease-common_disease
60	4990	disease-common_pred_lci
60	4993	disease-common_pred_lci
60	4996	disease-common_pred_lci
60	4998	disease-common_pred_lci
60	6499	disease-common_pred_lci
63	63	common_pred_lci-common_pred_lci
63	475	common_pred_lci-disease
63	1776	common_pred_lci-common_pred_lci
63	10995	common_pred_lci-common_pred_lci
63	17626	common_pred_lci-common_pred_lci
64	252	common_pred_lci-common_pred_lci
64	475	common_pred_lci-disease
64	1776	common_pred_lci-common_pred_lci
64	10995	common_pred_lci-common_pred_lci
64	17626	common_pred_lci-common_pred_lci
