disease,protein,common_interactor_score,common_interactor_score_pvalue,degree,frac_direct_interactions,frac_direct_interactions_pvalue
DB00726,3350,0.26705294331760937,0.002,11,0.043478260869565216,0.011
DB00726,1816,0.023692836411325423,0.049,6,0.0,1.0
DB00726,153,0.24537108985626804,0.001,21,0.043478260869565216,0.011
DB00726,3352,0.2598149997537677,0.003,6,0.043478260869565216,0.01
DB00726,151,0.21764302567244503,0.001,7,0.0,1.0
DB00726,154,0.14753430667078357,0.003,276,0.043478260869565216,0.029
DB00726,155,0.16634868155054858,0.003,10,0.043478260869565216,0.014
DB00726,3356,0.06786431253975135,0.033,22,0.0,1.0
DB00726,1812,0.0036103449000871495,0.381,13,0.0,1.0
DB00726,3358,0.07353836029175188,0.016,9,0.0,1.0
DB00726,3359,0.017244333906768446,0.051,2,0.0,1.0
DB00726,3269,0.1901527740658954,0.001,11,0.0,1.0
DB00726,1128,0.14681077662685332,0.001,5,0.0,1.0
DB00726,1129,0.2496900536248541,0.001,20,0.0,1.0
DB00726,1131,0.16906898101526135,0.001,12,0.0,1.0
DB00726,1132,0.25649857865778414,0.0,8,0.0,1.0
DB00726,1133,0.1536152219818225,0.001,1,0.0,1.0
DB00078,2209,0.2013440269258035,0.004,17,0.09090909090909091,0.014
DB00078,931,0.025671908798042133,0.041,23,0.0,1.0
DB00078,2212,0.12562239384141455,0.001,36,0.18181818181818182,0.001
DB00078,2213,0.15442708676164468,0.002,24,0.09090909090909091,0.002
DB00078,2214,0.1609826891405484,0.004,19,0.18181818181818182,0.004
DB00078,2215,0.10943108173124093,0.005,20,0.09090909090909091,0.005
DB00078,712,0.36230977332120734,0.002,30,0.36363636363636365,0.002
DB00078,713,0.28670316516691796,0.002,23,0.2727272727272727,0.002
DB00078,714,0.2411102404919473,0.003,10,0.18181818181818182,0.003
DB00078,715,0.3992503954801971,0.005,13,0.2727272727272727,0.005
DB00078,716,0.36678305376058457,0.001,10,0.18181818181818182,0.004
DB00078,9103,0.136199751687626,0.004,12,0.09090909090909091,0.007
DB00396,5004,0.0008748454393996832,0.728,11,0.0,1.0
DB00396,367,0.12804536017694543,0.005,301,0.2222222222222222,0.193
DB00396,4306,0.07588851750850081,0.012,31,0.1111111111111111,0.07
DB00396,1586,0.006278757095217901,0.599,37,0.0,1.0
DB00396,2099,0.12425723214834992,0.007,789,0.3333333333333333,0.076
DB00396,2100,0.10869761056149839,0.009,140,0.1111111111111111,0.246
DB00396,5241,0.11306514530242259,0.006,81,0.1111111111111111,0.169
DB00396,4986,0.0033089967560619364,0.55,16,0.0,1.0
DB00396,2908,0.11352416717034493,0.005,242,0.2222222222222222,0.114
DB00396,6462,0.007977762273735575,0.635,65,0.0,1.0
DB05492,3269,0.056089112556422356,0.004,11,0.0,1.0
DB05492,146,0.10185238594023825,0.003,16,0.09090909090909091,0.003
DB05492,147,0.17694931374838885,0.003,14,0.09090909090909091,0.025
DB05492,148,0.14958813530450527,0.004,9,0.18181818181818182,0.004
DB05492,3356,0.07580251359634385,0.013,22,0.0,1.0
DB05492,150,0.14934256331028728,0.004,26,0.0,1.0
DB05492,151,0.13635191052125123,0.0,7,0.0,1.0
DB05492,152,0.08448338892484766,0.008,16,0.0,1.0
DB05492,4987,0.0071611487403943274,0.081,4,0.0,1.0
DB05492,4988,0.02871966782969113,0.037,77,0.0,1.0
DB05492,3357,0.11079521460429798,0.008,7,0.0,1.0
DB05492,3358,0.08913947894786256,0.01,9,0.0,1.0
DB00661,6532,0.020077421769331107,0.062,8,0.0,1.0
DB00661,773,0.0694172360287868,0.008,100,0.1111111111111111,0.012
DB00661,774,0.09935912085510903,0.005,17,0.05555555555555555,0.008
DB00661,775,0.16662320629026228,0.005,25,0.16666666666666666,0.005
DB00661,776,0.011173358719233181,0.076,4,0.0,1.0
DB00661,778,0.004963527979417832,0.141,2,0.0,1.0
DB00661,779,0.011251003794952228,0.151,9,0.0,1.0
DB00661,782,0.16328851120569593,0.002,9,0.1111111111111111,0.006
DB00661,783,0.16039633826347427,0.003,8,0.05555555555555555,0.007
DB00661,784,0.16435350769024593,0.003,11,0.1111111111111111,0.004
DB00661,785,0.10478603398024676,0.004,13,0.05555555555555555,0.012
DB00661,146,0.09895388437623047,0.005,16,0.05555555555555555,0.01
DB00661,147,0.11462708160767306,0.002,14,0.05555555555555555,0.011
DB00661,148,0.12323420036770436,0.003,9,0.1111111111111111,0.003
DB00661,3757,0.036642994019984845,0.005,31,0.0,1.0
DB00661,3767,0.010573895875253364,0.158,11,0.0,1.0
DB00661,6331,0.062336565229508326,0.005,33,0.0,1.0
DB00661,8911,0.015283283840719405,0.058,3,0.0,1.0
DB00661,8913,0.0,1.0,3,0.0,1.0
DB00546,2560,0.11970075287589206,0.006,22,0.0,1.0
DB00546,2561,0.8734338273791307,0.001,22,0.5,0.001
DB00546,2562,0.9023735761930495,0.003,18,0.4166666666666667,0.003
DB00546,2563,0.03678599266001588,0.012,5,0.0,1.0
DB00546,2564,0.0,1.0,41,0.0,1.0
DB00546,2565,0.03901962725044565,0.003,1,0.0,1.0
DB00546,2566,0.3677450034807781,0.005,19,0.16666666666666666,0.005
DB00546,2567,1.0689655514911813,0.003,8,0.4166666666666667,0.003
DB00546,2569,0.11523752918589222,0.007,22,0.08333333333333333,0.007
DB00546,2570,0.11375957718318722,0.006,5,0.08333333333333333,0.006
DB00546,2554,0.9737643781744577,0.001,14,0.5,0.001
DB00546,2555,1.0275097374119215,0.005,9,0.4166666666666667,0.005
DB00546,2556,0.9564192689943226,0.004,11,0.4166666666666667,0.004
DB00313,9734,0.03125763280608032,0.055,74,0.0,1.0
DB00313,36,0.007254870332571354,0.618,47,0.0,1.0
DB00313,6323,0.015351663761121242,0.261,75,0.0,1.0
DB00313,6324,0.13015861546314844,0.003,4,0.05555555555555555,0.007
DB00313,6326,0.25180135421143984,0.002,6,0.05555555555555555,0.01
DB00313,6327,0.028300642677570285,0.093,86,0.05555555555555555,0.116
DB00313,6328,0.019837990021453852,0.033,6,0.0,1.0
DB00313,6329,0.05741053853238905,0.01,10,0.0,1.0
DB00313,6330,0.2084667675539747,0.0,2,0.05555555555555555,0.001
DB00313,6331,0.13492520479252068,0.003,33,0.0,1.0
DB00313,6334,0.030709696797267642,0.011,5,0.0,1.0
DB00313,6336,0.0013595366879348108,0.302,2,0.0,1.0
DB00313,5465,0.08084092423092118,0.003,83,0.0,1.0
DB00313,5467,0.0814402603246703,0.002,54,0.05555555555555555,0.097
DB00313,5468,0.08681340100413797,0.004,167,0.0,1.0
DB00313,4967,0.02397962420419541,0.095,52,0.0,1.0
DB00313,7915,0.018734735644288902,0.147,55,0.0,1.0
DB00313,55800,0.06228382223347971,0.002,2,0.0,1.0
DB00313,3066,0.03961565515761017,0.244,387,0.05555555555555555,0.357
DB05147,81027,0.11630844245942949,0.039,185,0.2857142857142857,0.042
DB05147,7846,0.25719168232259587,0.005,399,0.7142857142857143,0.015
DB05147,10376,0.21018065003113034,0.009,125,0.6428571428571429,0.003
DB05147,84617,0.1793102561819547,0.005,66,0.35714285714285715,0.005
DB05147,112714,0.12189329733296739,0.0,22,0.14285714285714285,0.009
DB05147,7277,0.25181253413278204,0.003,215,0.7857142857142857,0.01
DB05147,10382,0.2517181477901433,0.007,103,0.21428571428571427,0.034
DB05147,10383,0.2619976775797314,0.005,154,0.6428571428571429,0.005
DB05147,10381,0.2461304697513541,0.006,121,0.35714285714285715,0.026
DB05147,7278,0.17430844647967578,0.002,76,0.21428571428571427,0.005
DB05147,7280,0.2574301597519433,0.004,125,0.42857142857142855,0.011
DB05147,347733,0.2496945864760933,0.004,95,0.42857142857142855,0.004
DB05147,84790,0.22889156088307763,0.004,175,0.8571428571428571,0.004
DB05147,80086,0.1362221462240354,0.003,16,0.2857142857142857,0.012
DB05147,203068,0.29012066455318436,0.004,361,0.5,0.036
DB01873,81027,0.10120629572124487,0.026,185,0.3,0.08
DB01873,7846,0.21620858682410685,0.003,399,0.8,0.01
DB01873,10376,0.16184577705252812,0.008,125,0.6,0.006
DB01873,7277,0.20794661379997448,0.004,215,0.7,0.029
DB01873,10382,0.17199273376282387,0.003,103,0.2,0.083
DB01873,10383,0.16621659551037996,0.001,154,0.6,0.001
DB01873,10381,0.1751720132985897,0.004,121,0.4,0.017
DB01873,7278,0.1281461076759948,0.002,76,0.3,0.004
DB01873,84790,0.15825737440774362,0.006,175,0.8,0.006
DB01873,203068,0.22645720254148727,0.004,361,0.5,0.071
DB01873,51807,0.11273818865011857,0.004,31,0.0,1.0
DB04216,1545,0.01334552385354489,0.802,31,0.043478260869565216,0.153
DB04216,7317,0.07428033281109744,0.316,163,0.08695652173913043,0.298
DB04216,8856,0.05929831996412775,0.01,38,0.043478260869565216,0.241
DB04216,23450,0.09749041531758032,0.524,489,0.13043478260869565,0.585
DB04216,1051,0.087993339195917,0.073,123,0.043478260869565216,0.607
DB04216,26275,0.035834491865861,0.176,32,0.0,1.0
DB04216,5292,0.051810254363829286,0.074,55,0.043478260869565216,0.237
DB04216,5294,0.02720839087056093,0.436,39,0.0,1.0
DB04216,9262,0.007847764824044272,0.841,18,0.0,1.0
DB04216,1457,0.13980182441833217,0.119,615,0.21739130434782608,0.231
DB04216,2099,0.19673063120369286,0.007,789,0.43478260869565216,0.011
DB04216,2100,0.10836904370360555,0.035,140,0.13043478260869565,0.144
DB04216,1460,0.11007803228535043,0.538,305,0.17391304347826086,0.456
DB04216,133688,0.0,1.0,1,0.0,1.0
DB04216,60,0.12483207941174518,0.214,466,0.30434782608695654,0.066
DB04216,6462,0.03379103407795907,0.587,65,0.08695652173913043,0.082
DB04216,196,0.09478396835195586,0.007,49,0.08695652173913043,0.043
DB04216,8665,0.06825231760144411,0.312,124,0.13043478260869565,0.107
DB04216,4835,0.02181186283619399,0.316,18,0.0,1.0
DB04216,10856,0.11784587413553078,0.348,367,0.13043478260869565,0.627
DB04216,873,0.057120067758345515,0.054,52,0.043478260869565216,0.233
DB04216,3306,0.059650300389260634,0.213,102,0.043478260869565216,0.461
DB04216,3055,0.05136488737720651,0.665,144,0.13043478260869565,0.167
DB04216,3320,0.15125731417695099,0.037,900,0.4782608695652174,0.004
DB11148,773,0.08237639745876021,0.007,100,0.09090909090909091,0.025
DB11148,774,0.11154699459056121,0.007,17,0.045454545454545456,0.011
DB11148,775,0.16719041879277904,0.003,25,0.13636363636363635,0.003
DB11148,776,0.0,1.0,4,0.0,1.0
DB11148,778,0.0,1.0,2,0.0,1.0
DB11148,779,0.011251003794952228,0.122,9,0.0,1.0
DB11148,781,0.03295160112937159,0.017,28,0.0,1.0
DB11148,782,0.16060899427636327,0.003,9,0.09090909090909091,0.003
DB11148,783,0.1582566240393004,0.003,8,0.045454545454545456,0.007
DB11148,784,0.16435350769024593,0.003,11,0.09090909090909091,0.006
DB11148,785,0.10478603398024676,0.003,13,0.045454545454545456,0.013
DB11148,786,0.0,1.0,1,0.0,1.0
DB11148,9254,0.03295160112937159,0.023,9,0.0,1.0
DB11148,3758,0.02462805422382105,0.07,12,0.0,1.0
DB11148,3764,0.12275430230655236,0.002,17,0.045454545454545456,0.01
DB11148,3766,0.10341514440315185,0.005,21,0.0,1.0
DB11148,3767,0.12868091504294743,0.003,11,0.045454545454545456,0.009
DB11148,3768,0.04746273044382157,0.007,17,0.0,1.0
DB11148,3772,0.10044362025608432,0.004,4,0.0,1.0
DB11148,8911,0.0,1.0,3,0.0,1.0
DB11148,8912,0.029358995059641013,0.021,7,0.0,1.0
DB11148,8913,0.0,1.0,3,0.0,1.0
DB11148,55799,0.0,1.0,1,0.0,1.0
DB01065,4544,0.08903401869429191,0.003,20,0.1111111111111111,0.055
DB01065,801,0.021998155095442035,0.658,524,0.2222222222222222,0.099
DB01065,8288,0.07336452621887161,0.008,11,0.0,1.0
DB01065,4835,0.004825393174103297,0.367,18,0.0,1.0
DB01065,4353,0.07277798074531798,0.003,12,0.0,1.0
