node_1	node_2	roles
2436	3992	common_pred_lci-disease
2436	5942	common_pred_lci-pred_lci
10756	3334	common_disease-disease
10756	13641	common_disease-disease
3334	3240	disease-common_disease
3334	11118	disease-common_pred_lci
3334	11727	disease-common_pred_lci
3334	14879	disease-common_pred_lci
3334	16650	disease-common_disease
3334	19740	disease-common_pred_lci
17674	3768	common_disease-disease
17674	13641	common_disease-disease
17674	17471	common_disease-common_disease
16650	3657	common_disease-common_disease
16650	7674	common_disease-common_disease
16650	13641	common_disease-disease
2315	754	common_disease-common_pred_lci
2315	1460	common_disease-common_pred_lci
2315	1562	common_disease-common_disease
2315	1620	common_disease-disease
2315	1621	common_disease-disease
2315	1972	common_disease-common_disease
2315	2315	common_disease-common_disease
2315	4315	common_disease-common_disease
2315	4698	common_disease-common_pred_lci
2315	4787	common_disease-common_pred_lci
2315	4789	common_disease-common_pred_lci
2315	5344	common_disease-common_disease
1041	1041	common_disease-common_disease
1041	1492	common_disease-disease
1041	1620	common_disease-disease
1041	1972	common_disease-common_disease
1041	4315	common_disease-common_disease
1041	4698	common_disease-common_pred_lci
1041	4787	common_disease-common_pred_lci
1041	4789	common_disease-common_pred_lci
15508	1623	common_pred_lci-disease
15508	1624	common_pred_lci-pred_lci
15508	15508	common_pred_lci-common_pred_lci
3992	1866	disease-common_disease
3992	1868	disease-common_disease
3992	3248	disease-common_disease
3992	3992	disease-disease
3992	4523	disease-common_pred_lci
3992	4642	disease-common_pred_lci
3992	4698	disease-common_pred_lci
3992	12621	disease-common_pred_lci
3992	14280	disease-common_disease
10904	1623	common_pred_lci-disease
10904	1624	common_pred_lci-pred_lci
1562	1562	common_disease-common_disease
1562	1621	common_disease-disease
1562	1623	common_disease-disease
1562	1972	common_disease-common_disease
1562	3657	common_disease-common_disease
1562	4789	common_disease-common_pred_lci
19740	1624	common_pred_lci-pred_lci
14879	1623	common_pred_lci-disease
14879	1624	common_pred_lci-pred_lci
14879	1972	common_pred_lci-common_disease
4642	3248	common_pred_lci-common_disease
4642	5942	common_pred_lci-pred_lci
3621	5594	pred_lci-common_pred_lci
13349	1623	common_pred_lci-disease
13349	1624	common_pred_lci-pred_lci
13349	1972	common_pred_lci-common_disease
13349	5344	common_pred_lci-common_disease
14280	1621	common_disease-disease
14280	17471	common_disease-common_disease
3240	3768	common_disease-disease
4523	4523	common_pred_lci-common_pred_lci
4523	5942	common_pred_lci-pred_lci
1866	1866	common_disease-common_disease
1866	1868	common_disease-common_disease
1866	4698	common_disease-common_pred_lci
1866	5368	common_disease-disease
19504	1623	common_pred_lci-disease
19504	1624	common_pred_lci-pred_lci
3248	1620	common_disease-disease
3248	1623	common_disease-disease
3248	3248	common_disease-common_disease
3248	4315	common_disease-common_disease
4787	1621	common_pred_lci-disease
4787	1624	common_pred_lci-pred_lci
4787	3768	common_pred_lci-disease
4787	4698	common_pred_lci-common_pred_lci
4787	4787	common_pred_lci-common_pred_lci
4787	4789	common_pred_lci-common_pred_lci
4787	5344	common_pred_lci-common_disease
1460	1460	common_pred_lci-common_pred_lci
1460	1620	common_pred_lci-disease
1460	1621	common_pred_lci-disease
1460	1623	common_pred_lci-disease
1460	1624	common_pred_lci-pred_lci
1460	7114	common_pred_lci-common_disease
4789	754	common_pred_lci-common_pred_lci
4789	1620	common_pred_lci-disease
4789	1621	common_pred_lci-disease
4789	1623	common_pred_lci-disease
4789	1624	common_pred_lci-pred_lci
4789	3657	common_pred_lci-common_disease
4789	4315	common_pred_lci-common_disease
4789	4698	common_pred_lci-common_pred_lci
4789	4789	common_pred_lci-common_pred_lci
5942	12621	pred_lci-common_pred_lci
1972	1620	common_disease-disease
1972	1621	common_disease-disease
1972	1623	common_disease-disease
1972	1972	common_disease-common_disease
1972	3657	common_disease-common_disease
1972	3694	common_disease-common_pred_lci
1972	4698	common_disease-common_pred_lci
1972	7674	common_disease-common_disease
3768	5344	disease-common_disease
1868	5368	common_disease-disease
3014	1623	common_pred_lci-disease
3014	1624	common_pred_lci-pred_lci
17471	1621	common_disease-disease
17471	13641	common_disease-disease
1606	1606	common_pred_lci-common_pred_lci
1606	1620	common_pred_lci-disease
1606	1621	common_pred_lci-disease
1606	1623	common_pred_lci-disease
1606	1624	common_pred_lci-pred_lci
1607	1607	common_pred_lci-common_pred_lci
1607	1620	common_pred_lci-disease
1607	1621	common_pred_lci-disease
1607	1623	common_pred_lci-disease
1607	1624	common_pred_lci-pred_lci
1607	4315	common_pred_lci-common_disease
1607	15998	common_pred_lci-pred_lci
6086	1620	common_pred_lci-disease
6086	1621	common_pred_lci-disease
6086	1623	common_pred_lci-disease
6086	1624	common_pred_lci-pred_lci
13641	5344	disease-common_disease
1608	1620	common_pred_lci-disease
1608	1621	common_pred_lci-disease
1608	1623	common_pred_lci-disease
1608	1624	common_pred_lci-pred_lci
1609	1620	common_pred_lci-disease
1609	1621	common_pred_lci-disease
1609	1623	common_pred_lci-disease
1609	1624	common_pred_lci-pred_lci
1610	1620	common_pred_lci-disease
1610	1621	common_pred_lci-disease
1610	1623	common_pred_lci-disease
1610	1624	common_pred_lci-pred_lci
1614	1614	pred_lci-pred_lci
1614	1620	pred_lci-disease
1614	1621	pred_lci-disease
1614	1623	pred_lci-disease
1614	1624	pred_lci-pred_lci
1611	1620	common_pred_lci-disease
1611	1621	common_pred_lci-disease
1611	1623	common_pred_lci-disease
1611	1624	common_pred_lci-pred_lci
1612	1620	common_pred_lci-disease
1612	1621	common_pred_lci-disease
1612	1623	common_pred_lci-disease
1612	1624	common_pred_lci-pred_lci
1613	1620	common_pred_lci-disease
1613	1621	common_pred_lci-disease
1613	1623	common_pred_lci-disease
