node_1	node_2	roles
13830	3148	common_pred_lci-pred_lci
13830	3152	common_pred_lci-disease
13830	3154	common_pred_lci-common_disease
13830	13830	common_pred_lci-common_pred_lci
18439	48	common_disease-disease
18439	51	common_disease-common_disease
18439	363	common_disease-common_disease
18439	556	common_disease-common_disease
18439	715	common_disease-common_pred_lci
18439	850	common_disease-common_disease
18439	1662	common_disease-common_disease
18439	1733	common_disease-common_pred_lci
18439	2776	common_disease-disease
18439	2910	common_disease-common_disease
18439	3868	common_disease-common_disease
18439	5093	common_disease-common_disease
18439	5193	common_disease-common_disease
18439	5816	common_disease-common_pred_lci
18439	7783	common_disease-common_disease
18439	18439	common_disease-common_disease
4116	302	common_disease-common_disease
4116	715	common_disease-common_pred_lci
4116	2430	common_disease-common_disease
4116	2776	common_disease-disease
4116	3380	common_disease-common_disease
4116	4116	common_disease-common_disease
4116	7420	common_disease-common_disease
4116	13036	common_disease-common_disease
4116	14902	common_disease-disease
15389	2843	disease-common_disease
15389	7610	disease-common_disease
4640	47	common_disease-common_disease
4640	2312	common_disease-common_disease
4640	4137	common_disease-common_disease
4640	4640	common_disease-common_disease
4640	5093	common_disease-common_disease
4640	6727	common_disease-common_disease
4640	6979	common_disease-common_disease
4640	14902	common_disease-disease
4640	14986	common_disease-disease
4137	47	common_disease-common_disease
4137	1676	common_disease-common_disease
4137	1733	common_disease-common_pred_lci
4137	2776	common_disease-disease
4137	3380	common_disease-common_disease
4137	4698	common_disease-common_pred_lci
4137	5093	common_disease-common_disease
4137	5193	common_disease-common_disease
4137	6979	common_disease-common_disease
4137	11026	common_disease-common_disease
4137	13036	common_disease-common_disease
4137	13037	common_disease-common_disease
4137	14902	common_disease-disease
17451	1324	common_disease-disease
17451	2776	common_disease-disease
17451	3031	common_disease-common_disease
556	4893	common_disease-disease
556	14986	common_disease-disease
45	45	common_disease-common_disease
45	747	common_disease-common_disease
45	913	common_disease-common_pred_lci
45	1254	common_disease-common_disease
45	1324	common_disease-disease
45	1972	common_disease-common_disease
45	2313	common_disease-common_disease
45	2910	common_disease-common_disease
45	3154	common_disease-common_disease
45	3380	common_disease-common_disease
45	3868	common_disease-common_disease
45	3871	common_disease-common_disease
45	5077	common_disease-common_pred_lci
45	5079	common_disease-common_pred_lci
45	5093	common_disease-common_disease
45	5103	common_disease-disease
45	5104	common_disease-common_pred_lci
45	5105	common_disease-common_disease
45	5798	common_disease-common_pred_lci
45	6062	common_disease-common_disease
45	6714	common_disease-common_disease
45	12722	common_disease-common_disease
45	18759	common_disease-common_pred_lci
15406	4462	common_pred_lci-disease
15406	4463	common_pred_lci-common_pred_lci
15406	4464	common_pred_lci-pred_lci
15406	4465	common_pred_lci-disease
15406	5531	common_pred_lci-common_pred_lci
15406	6072	common_pred_lci-common_pred_lci
15406	6073	common_pred_lci-common_pred_lci
15406	6074	common_pred_lci-common_pred_lci
15406	15406	common_pred_lci-common_pred_lci
47	47	common_disease-common_disease
47	48	common_disease-disease
47	51	common_disease-common_disease
47	54	common_disease-common_pred_lci
47	302	common_disease-common_disease
47	747	common_disease-common_disease
47	1324	common_disease-disease
47	1662	common_disease-common_disease
47	1676	common_disease-common_disease
47	1972	common_disease-common_disease
47	2313	common_disease-common_disease
47	2538	common_disease-common_disease
47	2776	common_disease-disease
47	2843	common_disease-common_disease
47	3138	common_disease-common_disease
47	3154	common_disease-common_disease
47	3484	common_disease-common_disease
47	5093	common_disease-common_disease
47	5103	common_disease-disease
47	5104	common_disease-common_pred_lci
47	5105	common_disease-common_disease
47	5193	common_disease-common_disease
47	5798	common_disease-common_pred_lci
47	5954	common_disease-common_disease
47	6714	common_disease-common_disease
47	6979	common_disease-common_disease
47	7783	common_disease-common_disease
47	12941	common_disease-common_disease
48	46	disease-common_disease
48	51	disease-common_disease
48	302	disease-common_disease
48	588	disease-common_disease
48	1166	disease-common_disease
48	1254	disease-common_disease
48	1972	disease-common_disease
48	2312	disease-common_disease
48	2313	disease-common_disease
48	2538	disease-common_disease
48	2910	disease-common_disease
48	3138	disease-common_disease
48	3871	disease-common_disease
48	4698	disease-common_pred_lci
48	5103	disease-disease
48	5954	disease-common_disease
48	6062	disease-common_disease
48	6979	disease-common_disease
48	10050	disease-common_disease
48	10149	disease-common_disease
48	10362	disease-common_disease
48	12722	disease-common_disease
48	12941	disease-common_disease
48	18759	disease-common_pred_lci
46	54	common_disease-common_pred_lci
46	2910	common_disease-common_disease
46	3154	common_disease-common_disease
46	3484	common_disease-common_disease
46	5093	common_disease-common_disease
46	5103	common_disease-disease
46	5798	common_disease-common_pred_lci
46	7783	common_disease-common_disease
51	54	common_disease-common_pred_lci
51	850	common_disease-common_disease
51	1120	common_disease-common_disease
51	1662	common_disease-common_disease
51	1676	common_disease-common_disease
51	1972	common_disease-common_disease
51	2312	common_disease-common_disease
51	2538	common_disease-common_disease
51	2910	common_disease-common_disease
51	3154	common_disease-common_disease
51	3380	common_disease-common_disease
51	5103	common_disease-disease
51	5104	common_disease-common_pred_lci
51	5105	common_disease-common_disease
51	5106	common_disease-common_disease
51	12941	common_disease-common_disease
51	13036	common_disease-common_disease
51	13396	common_disease-common_disease
51	14986	common_disease-disease
14902	1166	disease-common_disease
14902	2288	disease-common_pred_lci
14902	3380	disease-common_disease
14902	5193	disease-common_disease
14902	5816	disease-common_pred_lci
14902	5954	disease-common_disease
14902	7610	disease-common_disease
14902	8429	disease-common_disease
14902	14902	disease-disease
54	54	common_pred_lci-common_pred_lci
54	588	common_pred_lci-common_disease
54	2312	common_pred_lci-common_disease
54	3148	common_pred_lci-pred_lci
54	3152	common_pred_lci-disease
54	5077	common_pred_lci-common_pred_lci
54	5103	common_pred_lci-disease
54	5104	common_pred_lci-common_pred_lci
54	5105	common_pred_lci-common_disease
54	5106	common_pred_lci-common_disease
54	7783	common_pred_lci-common_disease
54	7929	common_pred_lci-disease
6714	2776	common_disease-disease
6714	5081	common_disease-disease
3136	588	disease-common_disease
3136	2313	disease-common_disease
3136	3136	disease-disease
3136	3154	disease-common_disease
3136	5798	disease-common_pred_lci
3136	6062	disease-common_disease
3136	12722	disease-common_disease
3136	18759	disease-common_pred_lci
3138	715	common_disease-common_pred_lci
3138	1120	common_disease-common_disease
3138	1662	common_disease-common_disease
3138	1676	common_disease-common_disease
3138	1733	common_disease-common_pred_lci
3138	2312	common_disease-common_disease
3138	2430	common_disease-common_disease
3138	2776	common_disease-disease
3138	2843	common_disease-common_disease
3138	3138	common_disease-common_disease
3138	3238	common_disease-common_pred_lci
3138	4698	common_disease-common_pred_lci
3138	5093	common_disease-common_disease
3138	5193	common_disease-common_disease
3138	5798	common_disease-common_pred_lci
3138	6073	common_disease-common_pred_lci
3138	7054	common_disease-common_disease
3138	7783	common_disease-common_disease
6727	747	common_disease-common_disease
6727	1662	common_disease-common_disease
6727	2776	common_disease-disease
6727	5093	common_disease-common_disease
6727	5103	common_disease-disease
6727	5105	common_disease-common_disease
6727	5193	common_disease-common_disease
6727	6727	common_disease-common_disease
6727	13036	common_disease-common_disease
7241	747	common_disease-common_disease
7241	2776	common_disease-disease
7241	3031	common_disease-common_disease
7241	3380	common_disease-common_disease
7241	7420	common_disease-common_disease
7241	13036	common_disease-common_disease
7241	14986	common_disease-disease
5193	302	common_disease-common_disease
5193	715	common_disease-common_pred_lci
5193	1676	common_disease-common_disease
5193	1972	common_disease-common_disease
5193	2312	common_disease-common_disease
5193	2538	common_disease-common_disease
5193	2843	common_disease-common_disease
5193	2910	common_disease-common_disease
5193	3031	common_disease-common_disease
5193	3380	common_disease-common_disease
5193	3484	common_disease-common_disease
5193	4462	common_disease-disease
5193	4698	common_disease-common_pred_lci
5193	5093	common_disease-common_disease
5193	5193	common_disease-common_disease
5193	5798	common_disease-common_pred_lci
5193	7420	common_disease-common_disease
5193	10050	common_disease-common_disease
5193	10362	common_disease-common_disease
5193	12941	common_disease-common_disease
3148	4546	pred_lci-common_pred_lci
3148	5077	pred_lci-common_pred_lci
3148	5104	pred_lci-common_pred_lci
3148	5798	pred_lci-common_pred_lci
3148	13650	pred_lci-common_pred_lci
588	302	common_disease-common_disease
588	1676	common_disease-common_disease
588	2538	common_disease-common_disease
588	2910	common_disease-common_disease
588	3380	common_disease-common_disease
588	5093	common_disease-common_disease
588	7783	common_disease-common_disease
588	10149	common_disease-common_disease
588	13036	common_disease-common_disease
3152	2430	disease-common_disease
3152	4546	disease-common_pred_lci
3152	4698	disease-common_pred_lci
3152	5077	disease-common_pred_lci
3152	5104	disease-common_pred_lci
3152	7054	disease-common_disease
3152	7783	disease-common_disease
3152	13037	disease-common_disease
3152	13141	disease-common_disease
3152	13650	disease-common_pred_lci
3152	17335	disease-common_disease
3154	302	common_disease-common_disease
3154	747	common_disease-common_disease
3154	1662	common_disease-common_disease
3154	1676	common_disease-common_disease
3154	1972	common_disease-common_disease
3154	2538	common_disease-common_disease
3154	2910	common_disease-common_disease
3154	3154	common_disease-common_disease
3154	3380	common_disease-common_disease
3154	3868	common_disease-common_disease
3154	3871	common_disease-common_disease
3154	4698	common_disease-common_pred_lci
3154	5093	common_disease-common_disease
3154	5103	common_disease-disease
3154	5104	common_disease-common_pred_lci
3154	5105	common_disease-common_disease
3154	5106	common_disease-common_disease
3154	5798	common_disease-common_pred_lci
3154	6979	common_disease-common_disease
3154	7783	common_disease-common_disease
3154	13036	common_disease-common_disease
3154	13396	common_disease-common_disease
13396	1662	common_disease-common_disease
13396	2776	common_disease-disease
13396	5103	common_disease-disease
13396	5104	common_disease-common_pred_lci
13396	5105	common_disease-common_disease
13396	5106	common_disease-common_disease
6231	5077	pred_lci-common_pred_lci
6231	5079	pred_lci-common_pred_lci
4698	715	common_pred_lci-common_pred_lci
4698	747	common_pred_lci-common_disease
4698	1676	common_pred_lci-common_disease
4698	1972	common_pred_lci-common_disease
4698	2312	common_pred_lci-common_disease
4698	2313	common_pred_lci-common_disease
4698	2843	common_pred_lci-common_disease
4698	3868	common_pred_lci-common_disease
4698	4698	common_pred_lci-common_pred_lci
4698	5093	common_pred_lci-common_disease
4698	5103	common_pred_lci-disease
4698	5104	common_pred_lci-common_pred_lci
4698	5105	common_pred_lci-common_disease
4698	5106	common_pred_lci-common_disease
4698	7420	common_pred_lci-common_disease
4698	12213	common_pred_lci-pred_lci
4698	14986	common_pred_lci-disease
1628	747	common_pred_lci-common_disease
1628	1972	common_pred_lci-common_disease
1628	3450	common_pred_lci-common_pred_lci
1628	4462	common_pred_lci-disease
1628	4463	common_pred_lci-common_pred_lci
1628	4464	common_pred_lci-pred_lci
1628	4465	common_pred_lci-disease
1628	5531	common_pred_lci-common_pred_lci
1628	13036	common_pred_lci-common_disease
1120	1120	common_disease-common_disease
1120	3031	common_disease-common_disease
1120	3238	common_disease-common_pred_lci
1120	3380	common_disease-common_disease
1120	4462	common_disease-disease
1120	5105	common_disease-common_disease
1120	11026	common_disease-common_disease
1120	14986	common_disease-disease
7783	302	common_disease-common_disease
