node_id,degree,protein_id,protein_name,role
2776,258,4000,LMNA,disease
5103,142,7168,TPM1,disease
5081,11,7139,TNNT2,disease
48,65,70,ACTC1,disease
15389,28,63976,PRDM16,disease
14986,33,57644,MYH7B,disease
1324,38,1837,DTNA,disease
3152,38,4625,MYH7,disease
7929,9,11155,LDB3,disease
4462,94,6389,SDHA,disease
4893,92,6901,TAZ,disease
4465,8,6392,SDHD,disease
14902,69,57534,MIB1,disease
3136,17,4607,MYBPC3,disease
6231,3,9033,PKD2L1,pred_lci
5077,17,7135,TNNI1,common_pred_lci
5079,37,7137,TNNI3,common_pred_lci
3148,9,4621,MYH3,pred_lci
5104,103,7169,TPM2,common_pred_lci
54,105,88,ACTN2,common_pred_lci
4546,24,6495,SIX1,common_pred_lci
13830,55,55143,CDCA8,common_pred_lci
13650,7,54916,TMEM260,common_pred_lci
5798,763,8454,CUL1,common_pred_lci
12213,1,39765,,pred_lci
4698,441,6667,SP1,common_pred_lci
4464,20,6391,SDHC,pred_lci
1733,285,2547,XRCC6,common_pred_lci
3238,90,4720,NDUFS2,common_pred_lci
15406,32,64064,OXCT2,common_pred_lci
4463,90,6390,SDHB,common_pred_lci
3450,82,5019,OXCT1,common_pred_lci
6072,60,8801,SUCLG2,common_pred_lci
6073,35,8802,SUCLG1,common_pred_lci
6074,50,8803,SUCLA2,common_pred_lci
5531,55,7915,ALDH5A1,common_pred_lci
1628,93,2271,FH,common_pred_lci
5816,274,8481,OFD1,common_pred_lci
2288,70,134359,POC5,common_pred_lci
5076,15,7134,TNNC1,pred_lci
715,415,983,CDK1,common_pred_lci
5080,73,7138,TNNT1,common_pred_lci
913,17,1264,CNN1,common_pred_lci
18759,95,84676,TRIM63,common_pred_lci
5093,1001,7157,TP53,common_disease
7783,464,10971,YWHAQ,common_disease
6727,196,9656,MDC1,common_disease
747,892,1017,CDK2,common_disease
47,466,60,ACTB,common_disease
13396,142,54443,ANLN,common_disease
3380,1965,4914,NTRK1,common_disease
1972,1081,2885,GRB2,common_disease
3484,426,5071,PRKN,common_disease
1662,359,2316,FLNA,common_disease
6714,120,9643,MORF4L2,common_disease
3868,395,5578,PRKCA,common_disease
3138,583,4609,MYC,common_disease
10149,176,23345,SYNE1,common_disease
18439,547,83987,CCDC8,common_disease
2538,529,3676,ITGA4,common_disease
12941,219,51377,UCHL5,common_disease
10362,118,23607,CD2AP,common_disease
2910,918,4171,MCM2,common_disease
3871,175,5581,PRKCE,common_disease
2843,417,4088,SMAD3,common_disease
7241,277,10250,SRRM1,common_disease
17451,52,79443,FYCO1,common_disease
13037,125,51548,SIRT6,common_disease
13141,327,51741,WWOX,common_disease
13036,666,51547,SIRT7,common_disease
1676,792,2335,FN1,common_disease
11026,622,26270,FBXO6,common_disease
7420,1153,10482,NXF1,common_disease
3031,1178,4343,MOV10,common_disease
4137,261,5928,RBBP4,common_disease
4116,141,5905,RANGAP1,common_disease
6979,343,9924,PAN2,common_disease
46,95,59,ACTA2,common_disease
51,153,81,ACTN4,common_disease
5105,151,7170,TPM3,common_disease
850,83,1152,CKB,common_disease
5106,92,7171,TPM4,common_disease
18044,11,81493,SYNC,common_disease
45,200,58,ACTA1,common_disease
7422,104,10484,SEC23A,common_disease
17335,48,79036,KXD1,common_disease
2430,149,3516,RBPJ,common_disease
363,100,515,ATP5PB,common_disease
3154,343,4627,MYH9,common_disease
1254,57,1756,DMD,common_disease
10050,40,23224,SYNE2,common_disease
2312,435,3315,HSPB1,common_disease
2313,123,3316,HSPB2,common_disease
302,366,409,ARRB2,common_disease
5954,294,8655,DYNLL1,common_disease
1166,63,1612,DAPK1,common_disease
588,110,823,CAPN1,common_disease
6062,10,8790,FPGT,common_disease
12722,9,51086,TNNI3K,common_disease
7610,67,10733,PLK4,common_disease
7054,121,10016,PDCD6,common_disease
1120,146,1537,CYC1,common_disease
556,28,781,CACNA2D1,common_disease
4640,267,6606,SMN1,common_disease
5193,1647,7316,UBC,common_disease
8429,278,145508,CEP128,common_disease
