,common_interactor_score,common_interactor_score_pvalue,degree,frac_direct_interactions,frac_direct_interactions_pvalue
count,55884.0,55884.0,55884.0,55884.0,55884.0
mean,0.11538480473206374,0.21533546274425594,75.99252022045665,0.04783935769541548,0.5477620249087396
std,0.17461474001513347,0.29197729371921755,137.5684045163812,0.09202903832404917,0.45703377965246184
min,0.0,0.0,1.0,0.0,0.0
25%,0.022578649198509753,0.009,11.0,0.0,0.041
50%,0.06325199861817818,0.066,31.0,0.011111111111111112,0.626
75%,0.1401841074129328,0.321,81.0,0.05714285714285714,1.0
max,2.6539999411920494,1.0,2132.0,1.0,1.0
<= 0.05,,0.4654641757927135,,,0.2692362751413643
