disease,protein,degree,frac_direct_interactions,frac_direct_interactions_pvalue,common_interactor_score,common_interactor_score_pvalue
C0917798,3115,3,0.0,1.0,0.014008295367013144,0.078
C0917798,1493,3,0.0,1.0,0.0,1.0
C0917798,351,1,0.0,1.0,0.0,1.0
C0917798,5982,4,0.0,1.0,0.009791694290843173,0.113
C0917798,9569,2,0.0,1.0,0.0,1.0
C0917798,875,14,0.0,1.0,0.009791694290843174,0.18
C0917798,26608,1,0.0,1.0,0.014008295367013144,0.068
C0917798,4854,5,0.0,1.0,0.0,1.0
C0017639,9096,3,0.0,1.0,0.00819672131147541,0.271
C0017639,7305,2,0.0,1.0,0.0,1.0
C0017639,5663,2,0.0,1.0,0.0,1.0
C0017639,4001,15,0.0,1.0,0.013404927516185588,0.514
C0017639,551,1,0.0,1.0,0.0,1.0
C0017639,10667,69,0.0,1.0,0.056487790108394,0.199
C0017639,2110,5,0.0,1.0,0.011138769006193797,0.378
C0017639,4287,1,0.0,1.0,0.0,1.0
C0017639,8398,12,0.0,1.0,0.028057130563159744,0.167
C0017639,2896,50,0.0,1.0,0.05731286153902777,0.084
C0017639,5594,20,0.0,1.0,0.10276062080742775,0.014
C0017639,5595,2,0.0,1.0,0.07273929674533082,0.009
C0017639,9179,2,0.0,1.0,0.0,1.0
C0017639,4704,2,0.0,1.0,0.02404363906151974,0.059
C0017639,10342,61,0.0,1.0,0.01751613452234617,0.612
C0017639,27242,1,0.0,1.0,0.008138962667412647,0.148
C0017639,3691,34,0.0,1.0,0.04989958908216114,0.113
C0017639,2670,61,0.0,1.0,0.046204663422470434,0.23
C0017639,7143,7,0.0,1.0,0.015357858973087463,0.347
C0017639,4722,2,0.0,1.0,0.0,1.0
C0017639,627,3,0.0,1.0,0.0,1.0
C0017639,6908,6,0.0,1.0,0.006974050590206652,0.461
C0020295,5889,1,0.0,1.0,0.0,1.0
C0020295,6913,14,0.0,1.0,0.014120326440612337,0.556
C0020295,51715,1,0.0,1.0,0.008775306631024611,0.164
C0020295,8195,2,0.0,1.0,0.0,1.0
C0020295,9096,3,0.0,1.0,0.0,1.0
C0020295,7466,4,0.0,1.0,0.012619033860918848,0.261
C0020295,8241,35,0.0,1.0,0.014316963995684016,0.695
C0020295,8626,5,0.0,1.0,0.005830928571177664,0.454
C0020295,26040,10,0.0,1.0,0.0,1.0
C0020295,4920,40,0.0,1.0,0.0241229739507396,0.576
C0020295,10682,176,0.0,1.0,0.08612956924058161,0.02
C0020295,8504,2,0.07142857142857142,0.001,0.3303232895965959,0.001
C0020295,9915,11,0.0,1.0,0.006956532259414019,0.688
C0020295,2239,4,0.0,1.0,0.0,1.0
C0020295,1855,5,0.0,1.0,0.0,1.0
C0020295,5824,11,0.07142857142857142,0.005,0.3220084679281463,0.003
C0020295,9409,24,0.03571428571428571,0.103,0.1420024978481077,0.005
C0020295,9536,16,0.0,1.0,0.050206873096346125,0.073
C0020295,5193,33,0.0,1.0,0.05262937504888936,0.143
C0020295,5194,1,0.0,1.0,0.0,1.0
C0020295,5195,4,0.0,1.0,0.0,1.0
C0020295,5830,20,0.0,1.0,0.0,1.0
C0020295,7498,1,0.0,1.0,0.0,1.0
C0020295,8260,42,0.03571428571428571,0.194,0.06693165931617058,0.116
C0020295,1376,2,0.0,1.0,0.00430870407960823,0.333
C0020295,54880,3,0.03571428571428571,0.006,0.04975254955989536,0.015
C0020295,3691,34,0.0,1.0,0.0149426747061876,0.702
C0020295,55670,2,0.03571428571428571,0.007,0.24056261216234415,0.001
C0020295,50814,3,0.0,1.0,0.01111835658781516,0.278
C2674432,6663,6,0.0,1.0,0.0,1.0
C2674432,7305,2,0.0,1.0,0.0,1.0
C2674432,3730,2,0.0,1.0,0.014631709376871572,0.139
C2674432,26012,23,0.0,1.0,0.0,1.0
C2674432,1186,13,0.0,1.0,0.0,1.0
C2674432,9394,2,0.0,1.0,0.0,1.0
C2674432,1848,2,0.0,1.0,0.0,1.0
C2674432,54463,1,0.0,1.0,0.0,1.0
C2674432,29887,3,0.0,1.0,0.0,1.0
C2674432,10312,2,0.0,1.0,0.0,1.0
C2674432,5604,3,0.0,1.0,0.0,1.0
C2674432,8820,5,0.0,1.0,0.0,1.0
C2674432,8822,1,0.0,1.0,0.015151515151515152,0.08
C2674432,1277,1,0.0,1.0,0.0,1.0
C2674432,1278,8,0.0,1.0,0.02978322452838672,0.069
C0432040,6913,14,0.0,1.0,0.002069369095872055,0.707
C0432040,6660,28,0.0,1.0,0.007455387587059781,0.571
C0432040,6299,1,0.0,1.0,0.0,1.0
C0432040,10907,4,0.0,1.0,0.0,1.0
C0432040,10020,60,0.0,1.0,0.002069369095872055,0.922
C0432040,8626,5,0.0,1.0,0.0,1.0
C0432040,10682,176,0.0,1.0,0.0,1.0
C0432040,54880,3,0.0,1.0,0.0,1.0
C0432040,10087,16,0.0,1.0,0.0,1.0
C0432040,4089,11,0.0,1.0,0.007455387587059781,0.45
C3714796,7681,145,0.0,1.0,0.03580385864219681,0.235
C3714796,6658,3,0.0,1.0,0.002425784367736032,0.318
C3714796,54551,2,0.0,1.0,0.0,1.0
C3714796,5144,5,0.0,1.0,0.005364263442785932,0.381
C3714796,3481,3,0.0,1.0,0.006084904793890443,0.207
C3714796,8626,5,0.0,1.0,0.0,1.0
C3714796,9915,11,0.0,1.0,0.013369534233956376,0.291
C3714796,5308,31,0.0,1.0,0.024640514626067478,0.238
C3714796,5573,13,0.0,1.0,0.0,1.0
C3714796,4692,21,0.0,1.0,0.0012306072964160903,0.82
C3714796,25942,5,0.0,1.0,0.0,1.0
C3714796,8022,69,0.0,1.0,0.029347071436802843,0.399
C3714796,8820,5,0.0,1.0,0.0106569769581532,0.218
C3714796,6777,14,0.0,1.0,0.024942211338861316,0.146
C1866134,3981,1,0.0,1.0,0.0,1.0
C1866134,4920,40,0.0,1.0,0.0,1.0
C1866134,8504,2,0.13333333333333333,0.002,0.3303232895965959,0.002
C1866134,2110,5,0.0,1.0,0.0,1.0
C1866134,1855,5,0.0,1.0,0.0,1.0
C1866134,5824,11,0.13333333333333333,0.003,0.3220084679281463,0.003
C1866134,3265,1,0.0,1.0,0.0,1.0
C1866134,9409,24,0.06666666666666667,0.016,0.12583347977298004,0.002
C1866134,5193,33,0.0,1.0,0.0,1.0
C1866134,5194,1,0.0,1.0,0.0,1.0
C1866134,5195,4,0.0,1.0,0.0,1.0
C1866134,5830,20,0.0,1.0,0.0,1.0
C1866134,10484,25,0.0,1.0,0.0027394690053949688,0.624
C1866134,55670,2,0.06666666666666667,0.004,0.24056261216234415,0.001
C1866134,1277,1,0.0,1.0,0.0,1.0
C1866134,1278,8,0.0,1.0,0.0,1.0
