,median_weight,num_proteins,pvalue
biological_process,0.014727177582846388,15067,0.006
cellular_component,0.014588994802518539,15736,0.063
molecular_function,0.014080069587124863,15136,0.069
b-m,0.015953948793634255,850,0.999
b-c,0.0154133461619019,325,0.385
m-c,0.011195957514548698,622,0.995
