Disease ID,Disease Name,Recall-at-100,Recall-at-25,AUROC,Mean Average Precision,Ranks,Nodes
DB06589,DB06589,0.8,0.3,0.99491344502715,0.035395537691988124,110.6,2856.9
DB04522,DB04522,0.0,0.0,0.8080857779428147,0.001112635070201097,4332.307692307692,3734.3846153846152
DB03796,DB03796,0.0,0.0,0.6867406135424885,0.0004678434974232092,6750.8,4664.2
DB06216,DB06216,0.55,0.2,0.9901012164546383,0.03962860321201191,223.94736842105263,1408.7894736842106
DB00246,DB00246,0.3833333333333333,0.2,0.9634977397981299,0.04352469561595928,843.56,1505.56
DB00726,DB00726,0.3833333333333333,0.2,0.9816266505673463,0.07097951878598477,391.1666666666667,1651.8333333333333
DB00078,DB00078,0.85,0.5,0.990478069157577,0.10788116337923215,308.75,1450.4166666666667
DB00396,DB00396,0.5,0.1,0.9284958462895068,0.04268051186611427,1541.7,2440.5
DB05492,DB05492,0.4,0.2,0.9844000928289626,0.02125237740951175,319.25,1397.1666666666667
DB00661,DB00661,0.2,0.1,0.9165567833596434,0.011202111629853495,1503.0,1704.7894736842106
DB00546,DB00546,0.85,0.75,0.9830068696620868,0.5494036567143881,556.8461538461538,1747.5384615384614
DB00313,DB00313,0.1,0.1,0.8520962949206055,0.008787225868915793,3123.1052631578946,4613.526315789473
DB05147,DB05147,0.95,0.8,0.9990414074830563,0.30268243194713784,25.666666666666668,11981.266666666666
DB01873,DB01873,0.95,0.95,0.999262043998886,0.10169724256384874,21.636363636363637,10185.727272727272
DB04216,DB04216,0.05,0.0,0.776666047462035,0.002573510802175349,4882.041666666667,3505.7083333333335
DB11148,DB11148,0.15,0.05,0.8614129593511037,0.007228987138431757,2848.5652173913045,2672.7391304347825
DB01065,DB01065,0.1,0.0,0.8867870237155984,0.0031095603919606783,2440.4,2543.4
DB00119,DB00119,0.1,0.1,0.6704103421064846,0.011531975788438375,8029.0,5802.571428571428
DB08846,DB08846,0.1,0.1,0.6888520100269241,0.017177555405903218,6803.6,2960.733333333333
DB00599,DB00599,0.5,0.5,0.8954492713264643,0.2921153419009239,2136.4545454545455,1520.7272727272727
DB00334,DB00334,0.4333333333333333,0.2,0.9696914440572979,0.03810541063678102,634.4375,1488.5
DB00277,DB00277,0.15,0.05,0.5879079051199925,0.005276308256120787,7856.571428571428,5852.928571428572
DB04464,DB04464,0.5166666666666666,0.38333333333333336,0.8692975123453923,0.06561063458171272,3058.8333333333335,2440.9166666666665
DB02010,DB02010,0.15,0.0,0.9201610657259561,0.006272570016193156,1962.6153846153845,3177.076923076923
