node_id,degree,protein_id,protein_name,role
256,108,356,FASLG,disease
601,183,836,CASP3,disease
2261,31,3240,HP,disease
3087,16,4524,MTHFR,disease
74,33,109,ADCY3,disease
1008,49,1390,CREM,disease
3328,79,4846,NOS3,disease
126,14,177,AGER,disease
78,28,114,ADCY8,disease
4164,419,5970,RELA,disease
5007,54,7057,THBS1,disease
149,200,213,ALB,disease
5008,7,7058,THBS2,disease
3570,11,5176,SERPINF1,disease
2195,30,3162,HMOX1,disease
324,92,445,ASS1,disease
14273,26,55811,ADCY10,pred_lci
5953,27,8654,PDE5A,common_pred_lci
7684,22,10846,PDE10A,common_pred_lci
11284,21,27115,PDE7B,common_pred_lci
5924,20,8622,PDE8B,common_pred_lci
3531,26,5136,PDE1A,common_pred_lci
3532,19,5137,PDE1C,common_pred_lci
3533,25,5138,PDE2A,common_pred_lci
3534,51,5139,PDE3A,common_pred_lci
3535,39,5140,PDE3B,common_pred_lci
3536,32,5141,PDE4A,common_pred_lci
3537,35,5142,PDE4B,common_pred_lci
3538,25,5143,PDE4C,common_pred_lci
3539,69,5144,PDE4D,common_pred_lci
3540,22,5145,PDE6A,common_pred_lci
3541,19,5146,PDE6C,common_pred_lci
3542,52,5147,PDE6D,common_pred_lci
3543,30,5148,PDE6G,common_pred_lci
3544,24,5149,PDE6H,common_pred_lci
3545,22,5150,PDE7A,common_pred_lci
3546,20,5151,PDE8A,common_pred_lci
3547,58,5152,PDE9A,common_pred_lci
3548,21,5153,PDE1B,common_pred_lci
3553,22,5158,PDE6B,common_pred_lci
12648,20,50940,PDE11A,common_pred_lci
2060,29,2986,GUCY2F,pred_lci
8323,274,13385,,common_pred_lci
72,26,107,ADCY1,pred_lci
73,27,108,ADCY2,pred_lci
2048,24,2974,GUCY1B2,pred_lci
608,49,843,CASP10,common_disease
289,100,396,ARHGDIA,common_disease
2825,269,4067,LYN,common_disease
606,196,841,CASP8,common_disease
3889,256,5599,MAPK8,common_disease
6104,65,8837,CFLAR,common_disease
444,62,637,BID,common_disease
1726,410,2534,FYN,common_disease
1972,1081,2885,GRB2,common_disease
280,185,387,RHOA,common_disease
3209,267,4690,NCK1,common_disease
3269,82,4772,NFATC1,common_disease
21450,49,653361,NCF1,common_disease
493,123,695,BTK,common_disease
3662,309,5300,PIN1,common_disease
1395,57,1958,EGR1,common_disease
2523,58,3659,IRF1,common_disease
2524,34,3660,IRF2,common_disease
1676,792,2335,FN1,common_disease
1254,57,1756,DMD,common_disease
7178,156,10174,SORBS3,common_disease
6506,64,9402,GRAP2,common_disease
5002,119,7052,TGM2,common_disease
1419,1866,1994,ELAVL1,common_disease
11859,29,30818,KCNIP3,common_disease
7040,76,10000,AKT3,common_disease
3939,137,5663,PSEN1,common_disease
3940,80,5664,PSEN2,common_disease
144,378,207,AKT1,common_disease
145,129,208,AKT2,common_disease
4698,441,6667,SP1,common_disease
252,2132,351,APP,common_disease
2183,114,3146,HMGB1,common_disease
4742,111,6722,SRF,common_disease
265,301,367,AR,common_disease
1041,329,1432,MAPK14,common_disease
6307,92,9131,AIFM1,common_disease
10107,403,23291,FBXW11,common_disease
5287,391,7431,VIM,common_disease
3880,229,5590,PRKCZ,common_disease
2217,691,3192,HNRNPU,common_disease
3881,312,5591,PRKDC,common_disease
6189,353,8945,BTRC,common_disease
563,131,790,CAD,common_disease
4787,225,6772,STAT1,common_disease
6220,154,9020,MAP3K14,common_disease
4173,96,5981,RFC1,common_disease
716,44,984,CDK11B,common_disease
7256,69,10270,AKAP8,common_disease
478,609,672,BRCA1,common_disease
3681,52,5321,PLA2G4A,common_disease
100,286,142,PARP1,common_disease
2925,470,4193,MDM2,common_disease
4219,756,6045,RNF2,common_disease
1025,115,1410,CRYAB,common_disease
5356,426,7531,YWHAE,common_disease
5357,542,7532,YWHAG,common_disease
1178,43,1630,DCC,common_disease
2015,88,2934,GSN,common_disease
2988,198,4292,MLH1,common_disease
5180,124,7295,TXN,common_disease
250,70,348,APOE,common_disease
5928,143,8626,TP63,common_disease
4899,54,6907,TBL1X,common_disease
2843,417,4088,SMAD3,common_disease
9513,27,284161,GDPD1,common_disease
238,102,335,APOA1,common_disease
18679,172,84464,SLX4,common_disease
8012,172,11269,DDX19B,common_disease
4366,134,6272,SORT1,common_disease
582,86,817,CAMK2D,common_disease
583,101,818,CAMK2G,common_disease
580,167,815,CAMK2A,common_disease
3858,420,5566,PRKACA,common_disease
3868,395,5578,PRKCA,common_disease
4900,243,6908,TBP,common_disease
1062,615,1457,CSNK2A1,common_disease
1063,341,1459,CSNK2A2,common_disease
2123,611,3065,HDAC1,common_disease
1005,400,1387,CREBBP,common_disease
7351,69,10401,PIAS3,common_disease
728,73,997,CDC34,common_disease
2014,362,2932,GSK3B,common_disease
571,524,801,CALM1,common_disease
2315,900,3320,HSP90AA1,common_disease
6108,238,8841,HDAC3,common_disease
