node_1	node_2	roles
2048	3531	pred_lci-common_pred_lci
2048	3532	pred_lci-common_pred_lci
2048	3533	pred_lci-common_pred_lci
2048	3534	pred_lci-common_pred_lci
2048	3535	pred_lci-common_pred_lci
2048	3536	pred_lci-common_pred_lci
2048	3537	pred_lci-common_pred_lci
2048	3538	pred_lci-common_pred_lci
2048	3539	pred_lci-common_pred_lci
2048	3540	pred_lci-common_pred_lci
2048	3541	pred_lci-common_pred_lci
2048	3542	pred_lci-common_pred_lci
2048	3543	pred_lci-common_pred_lci
2048	3544	pred_lci-common_pred_lci
2048	3545	pred_lci-common_pred_lci
2048	3546	pred_lci-common_pred_lci
2048	3547	pred_lci-common_pred_lci
2048	3548	pred_lci-common_pred_lci
2048	3553	pred_lci-common_pred_lci
2048	5924	pred_lci-common_pred_lci
2048	5953	pred_lci-common_pred_lci
2048	7684	pred_lci-common_pred_lci
2048	11284	pred_lci-common_pred_lci
2048	12648	pred_lci-common_pred_lci
1025	149	common_disease-disease
1025	252	common_disease-common_disease
1025	601	common_disease-disease
1025	606	common_disease-common_disease
1025	1025	common_disease-common_disease
1025	1041	common_disease-common_disease
1025	2123	common_disease-common_disease
1025	3978	common_disease-common_disease
7684	72	common_pred_lci-pred_lci
7684	73	common_pred_lci-pred_lci
7684	74	common_pred_lci-disease
7684	78	common_pred_lci-disease
7684	601	common_pred_lci-disease
7684	2060	common_pred_lci-pred_lci
7684	14273	common_pred_lci-pred_lci
5637	149	common_disease-disease
5637	265	common_disease-common_disease
5637	478	common_disease-common_disease
5637	1005	common_disease-common_disease
5637	1041	common_disease-common_disease
5637	1419	common_disease-common_disease
5637	1499	common_disease-common_disease
5637	2014	common_disease-common_disease
5637	2843	common_disease-common_disease
5637	3281	common_disease-common_disease
5637	3662	common_disease-common_disease
5637	3858	common_disease-common_disease
5637	3880	common_disease-common_disease
5637	3889	common_disease-common_disease
5637	4164	common_disease-disease
5637	4900	common_disease-common_disease
5637	5193	common_disease-common_disease
5637	5637	common_disease-common_disease
7178	144	common_disease-common_disease
7178	145	common_disease-common_disease
7178	149	common_disease-disease
7178	256	common_disease-disease
7178	7178	common_disease-common_disease
7690	252	common_disease-common_disease
7690	324	common_disease-disease
7690	478	common_disease-common_disease
7690	563	common_disease-common_disease
7690	1499	common_disease-common_disease
7690	1676	common_disease-common_disease
7690	1972	common_disease-common_disease
7690	2123	common_disease-common_disease
7690	2217	common_disease-common_disease
7690	2310	common_disease-common_disease
7690	2319	common_disease-common_disease
7690	2925	common_disease-common_disease
7690	2988	common_disease-common_disease
7690	3138	common_disease-common_disease
7690	3281	common_disease-common_disease
7690	3327	common_disease-common_disease
7690	3681	common_disease-common_disease
7690	4164	common_disease-disease
7690	4219	common_disease-common_disease
7690	4900	common_disease-common_disease
7690	5193	common_disease-common_disease
7690	5356	common_disease-common_disease
7690	6220	common_disease-common_disease
7690	6458	common_disease-common_disease
7690	7256	common_disease-common_disease
7690	7690	common_disease-common_disease
7690	7794	common_disease-common_disease
7690	10207	common_disease-common_disease
2060	2060	pred_lci-pred_lci
2060	3531	pred_lci-common_pred_lci
2060	3532	pred_lci-common_pred_lci
2060	3533	pred_lci-common_pred_lci
2060	3534	pred_lci-common_pred_lci
2060	3535	pred_lci-common_pred_lci
2060	3536	pred_lci-common_pred_lci
2060	3537	pred_lci-common_pred_lci
2060	3538	pred_lci-common_pred_lci
2060	3539	pred_lci-common_pred_lci
2060	3540	pred_lci-common_pred_lci
2060	3541	pred_lci-common_pred_lci
2060	3542	pred_lci-common_pred_lci
2060	3543	pred_lci-common_pred_lci
2060	3544	pred_lci-common_pred_lci
2060	3545	pred_lci-common_pred_lci
2060	3546	pred_lci-common_pred_lci
2060	3547	pred_lci-common_pred_lci
2060	3548	pred_lci-common_pred_lci
2060	3553	pred_lci-common_pred_lci
2060	5924	pred_lci-common_pred_lci
2060	5953	pred_lci-common_pred_lci
2060	8323	pred_lci-common_pred_lci
2060	11284	pred_lci-common_pred_lci
2060	12648	pred_lci-common_pred_lci
1041	144	common_disease-common_disease
1041	265	common_disease-common_disease
1041	331	common_disease-common_disease
1041	601	common_disease-disease
1041	606	common_disease-common_disease
1041	1041	common_disease-common_disease
1041	1062	common_disease-common_disease
1041	1063	common_disease-common_disease
1041	1419	common_disease-common_disease
1041	1499	common_disease-common_disease
1041	1726	common_disease-common_disease
1041	1972	common_disease-common_disease
1041	2123	common_disease-common_disease
1041	2843	common_disease-common_disease
1041	3269	common_disease-common_disease
1041	3681	common_disease-common_disease
1041	3699	common_disease-common_disease
1041	3889	common_disease-common_disease
1041	4164	common_disease-disease
1041	4698	common_disease-common_disease
1041	4787	common_disease-common_disease
1041	5356	common_disease-common_disease
1041	6108	common_disease-common_disease
1041	6189	common_disease-common_disease
1041	8323	common_disease-common_pred_lci
1041	21450	common_disease-common_disease
11284	72	common_pred_lci-pred_lci
11284	73	common_pred_lci-pred_lci
11284	74	common_pred_lci-disease
11284	78	common_pred_lci-disease
11284	1419	common_pred_lci-common_disease
11284	14273	common_pred_lci-pred_lci
1062	144	common_disease-common_disease
1062	250	common_disease-common_disease
1062	252	common_disease-common_disease
1062	444	common_disease-common_disease
1062	478	common_disease-common_disease
1062	571	common_disease-common_disease
1062	574	common_disease-common_disease
1062	728	common_disease-common_disease
1062	1005	common_disease-common_disease
1062	1008	common_disease-disease
1062	1062	common_disease-common_disease
1062	1063	common_disease-common_disease
1062	1395	common_disease-common_disease
1062	1419	common_disease-common_disease
1062	1499	common_disease-common_disease
1062	1603	common_disease-common_disease
1062	1676	common_disease-common_disease
1062	2123	common_disease-common_disease
1062	2183	common_disease-common_disease
1062	2315	common_disease-common_disease
1062	2319	common_disease-common_disease
1062	2524	common_disease-common_disease
1062	2825	common_disease-common_disease
1062	2925	common_disease-common_disease
1062	3138	common_disease-common_disease
1062	3570	common_disease-disease
1062	3662	common_disease-common_disease
1062	3881	common_disease-common_disease
1062	3940	common_disease-common_disease
1062	4164	common_disease-disease
1062	4219	common_disease-common_disease
1062	4698	common_disease-common_disease
1062	4742	common_disease-common_disease
1062	4787	common_disease-common_disease
1062	5193	common_disease-common_disease
1062	6108	common_disease-common_disease
1062	7256	common_disease-common_disease
1062	7665	common_disease-common_disease
1062	10207	common_disease-common_disease
1062	18679	common_disease-common_disease
1062	21450	common_disease-common_disease
1063	144	common_disease-common_disease
1063	318	common_disease-common_disease
1063	444	common_disease-common_disease
1063	571	common_disease-common_disease
1063	574	common_disease-common_disease
1063	716	common_disease-common_disease
1063	728	common_disease-common_disease
1063	1005	common_disease-common_disease
1063	1008	common_disease-disease
1063	1395	common_disease-common_disease
1063	1499	common_disease-common_disease
1063	2123	common_disease-common_disease
1063	2183	common_disease-common_disease
1063	2315	common_disease-common_disease
1063	2319	common_disease-common_disease
1063	3138	common_disease-common_disease
1063	3662	common_disease-common_disease
1063	3881	common_disease-common_disease
1063	3889	common_disease-common_disease
1063	3940	common_disease-common_disease
1063	4164	common_disease-disease
1063	4219	common_disease-common_disease
1063	4698	common_disease-common_disease
1063	4742	common_disease-common_disease
1063	4965	common_disease-common_disease
1063	5002	common_disease-common_disease
1063	5193	common_disease-common_disease
1063	7665	common_disease-common_disease
1063	10207	common_disease-common_disease
6189	601	common_disease-disease
6189	728	common_disease-common_disease
6189	1419	common_disease-common_disease
6189	2014	common_disease-common_disease
6189	2217	common_disease-common_disease
6189	2315	common_disease-common_disease
6189	2843	common_disease-common_disease
6189	2925	common_disease-common_disease
6189	3138	common_disease-common_disease
6189	3281	common_disease-common_disease
6189	3858	common_disease-common_disease
6189	3978	common_disease-common_disease
6189	4164	common_disease-disease
6189	4698	common_disease-common_disease
6189	4965	common_disease-common_disease
6189	5193	common_disease-common_disease
6189	5356	common_disease-common_disease
6189	5357	common_disease-common_disease
6189	5928	common_disease-common_disease
6189	6189	common_disease-common_disease
6189	10107	common_disease-common_disease
5165	126	common_disease-disease
5165	149	common_disease-disease
5165	238	common_disease-common_disease
5165	252	common_disease-common_disease
5165	2797	common_disease-common_disease
5165	4783	common_disease-common_disease
5165	5165	common_disease-common_disease
5165	5287	common_disease-common_disease
5165	12649	common_disease-common_disease
563	563	common_disease-common_disease
563	601	common_disease-disease
563	1972	common_disease-common_disease
563	2538	common_disease-common_disease
563	3281	common_disease-common_disease
563	3327	common_disease-common_disease
563	3814	common_disease-common_disease
563	3858	common_disease-common_disease
563	3978	common_disease-common_disease
563	4164	common_disease-disease
563	5357	common_disease-common_disease
563	5928	common_disease-common_disease
563	6220	common_disease-common_disease
2102	149	common_disease-disease
2102	238	common_disease-common_disease
2102	1676	common_disease-common_disease
2102	2102	common_disease-common_disease
2102	2538	common_disease-common_disease
2102	3328	common_disease-disease
2102	6728	common_disease-common_disease
2102	9513	common_disease-common_disease
571	78	common_disease-disease
571	144	common_disease-common_disease
571	265	common_disease-common_disease
571	571	common_disease-common_disease
571	580	common_disease-common_disease
571	583	common_disease-common_disease
571	1419	common_disease-common_disease
571	1499	common_disease-common_disease
571	2315	common_disease-common_disease
571	3138	common_disease-common_disease
571	3281	common_disease-common_disease
571	3327	common_disease-common_disease
571	3328	common_disease-disease
571	3531	common_disease-common_pred_lci
571	4164	common_disease-disease
571	4219	common_disease-common_disease
571	4698	common_disease-common_disease
571	5002	common_disease-common_disease
571	5193	common_disease-common_disease
571	5356	common_disease-common_disease
571	6220	common_disease-common_disease
571	6728	common_disease-common_disease
571	7797	common_disease-common_disease
5180	289	common_disease-common_disease
5180	324	common_disease-disease
5180	601	common_disease-disease
5180	2988	common_disease-common_disease
5180	3138	common_disease-common_disease
5180	3281	common_disease-common_disease
5180	3868	common_disease-common_disease
5180	5287	common_disease-common_disease
574	78	common_disease-disease
574	265	common_disease-common_disease
574	574	common_disease-common_disease
574	580	common_disease-common_disease
574	583	common_disease-common_disease
574	1499	common_disease-common_disease
574	3281	common_disease-common_disease
574	4164	common_disease-disease
574	5356	common_disease-common_disease
574	6220	common_disease-common_disease
574	6728	common_disease-common_disease
574	11859	common_disease-common_disease
3138	252	common_disease-common_disease
3138	324	common_disease-disease
3138	478	common_disease-common_disease
3138	582	common_disease-common_disease
3138	1005	common_disease-common_disease
3138	1419	common_disease-common_disease
3138	1499	common_disease-common_disease
3138	1676	common_disease-common_disease
3138	2014	common_disease-common_disease
3138	2123	common_disease-common_disease
3138	2217	common_disease-common_disease
3138	2315	common_disease-common_disease
3138	2319	common_disease-common_disease
3138	2669	common_disease-common_disease
3138	2843	common_disease-common_disease
3138	2988	common_disease-common_disease
3138	3138	common_disease-common_disease
3138	3662	common_disease-common_disease
3138	3814	common_disease-common_disease
3138	3881	common_disease-common_disease
3138	3889	common_disease-common_disease
3138	3978	common_disease-common_disease
3138	4164	common_disease-disease
3138	4698	common_disease-common_disease
3138	4900	common_disease-common_disease
3138	5193	common_disease-common_disease
3138	5356	common_disease-common_disease
3138	6108	common_disease-common_disease
3138	7256	common_disease-common_disease
3138	7665	common_disease-common_disease
3138	7794	common_disease-common_disease
1603	149	common_disease-disease
1603	238	common_disease-common_disease
1603	1533	common_disease-common_disease
1603	1603	common_disease-common_disease
1603	1676	common_disease-common_disease
1603	3858	common_disease-common_disease
1603	3868	common_disease-common_disease
1603	3880	common_disease-common_disease
1603	5007	common_disease-disease
1603	5193	common_disease-common_disease
1603	8012	common_disease-common_disease
4164	100	disease-common_disease
4164	265	disease-common_disease
4164	331	disease-common_disease
4164	478	disease-common_disease
4164	493	disease-common_disease
4164	716	disease-common_disease
4164	728	disease-common_disease
4164	925	disease-common_disease
4164	1005	disease-common_disease
4164	1395	disease-common_disease
4164	1499	disease-common_disease
4164	1716	disease-common_disease
4164	2014	disease-common_disease
4164	2123	disease-common_disease
4164	2183	disease-common_disease
4164	2217	disease-common_disease
4164	2310	disease-common_disease
4164	2315	disease-common_disease
4164	2319	disease-common_disease
4164	2523	disease-common_disease
4164	2524	disease-common_disease
4164	2669	disease-common_disease
4164	2681	disease-common_disease
4164	2843	disease-common_disease
4164	2925	disease-common_disease
4164	3269	disease-common_disease
4164	3281	disease-common_disease
4164	3662	disease-common_disease
4164	3675	disease-common_disease
4164	3681	disease-common_disease
4164	3699	disease-common_disease
4164	3814	disease-common_disease
4164	3858	disease-common_disease
4164	3868	disease-common_disease
4164	3880	disease-common_disease
4164	3881	disease-common_disease
4164	4164	disease-disease
4164	4173	disease-common_disease
4164	4219	disease-common_disease
4164	4698	disease-common_disease
4164	4742	disease-common_disease
4164	4787	disease-common_disease
4164	4899	disease-common_disease
4164	4900	disease-common_disease
4164	5002	disease-common_disease
4164	5193	disease-common_disease
4164	5287	disease-common_disease
4164	5928	disease-common_disease
4164	6108	disease-common_disease
4164	6220	disease-common_disease
4164	6307	disease-common_disease
4164	6458	disease-common_disease
4164	7256	disease-common_disease
4164	7351	disease-common_disease
4164	7665	disease-common_disease
4164	7794	disease-common_disease
4164	10107	disease-common_disease
4164	10207	disease-common_disease
4164	12649	disease-common_disease
4164	18521	disease-common_disease
4164	20567	disease-common_disease
4164	21450	disease-common_disease
580	74	common_disease-disease
580	144	common_disease-common_disease
580	580	common_disease-common_disease
580	582	common_disease-common_disease
580	583	common_disease-common_disease
580	2315	common_disease-common_disease
580	2548	common_disease-common_disease
580	3326	common_disease-common_disease
580	3328	common_disease-disease
580	3681	common_disease-common_disease
580	4742	common_disease-common_disease
580	5287	common_disease-common_disease
582	74	common_disease-disease
582	100	common_disease-common_disease
582	582	common_disease-common_disease
582	583	common_disease-common_disease
582	1005	common_disease-common_disease
582	1008	common_disease-disease
582	1972	common_disease-common_disease
582	2315	common_disease-common_disease
582	4787	common_disease-common_disease
582	5287	common_disease-common_disease
583	74	common_disease-disease
583	583	common_disease-common_disease
583	1008	common_disease-disease
583	2315	common_disease-common_disease
583	2843	common_disease-common_disease
583	4787	common_disease-common_disease
583	5287	common_disease-common_disease
72	73	pred_lci-pred_lci
72	3531	pred_lci-common_pred_lci
72	3532	pred_lci-common_pred_lci
72	3533	pred_lci-common_pred_lci
72	3534	pred_lci-common_pred_lci
72	3535	pred_lci-common_pred_lci
72	3536	pred_lci-common_pred_lci
72	3537	pred_lci-common_pred_lci
72	3538	pred_lci-common_pred_lci
72	3539	pred_lci-common_pred_lci
72	3540	pred_lci-common_pred_lci
72	3541	pred_lci-common_pred_lci
72	3542	pred_lci-common_pred_lci
72	3543	pred_lci-common_pred_lci
72	3544	pred_lci-common_pred_lci
72	3545	pred_lci-common_pred_lci
72	3546	pred_lci-common_pred_lci
72	3547	pred_lci-common_pred_lci
72	3548	pred_lci-common_pred_lci
72	3553	pred_lci-common_pred_lci
72	5924	pred_lci-common_pred_lci
72	5953	pred_lci-common_pred_lci
72	12648	pred_lci-common_pred_lci
73	3531	pred_lci-common_pred_lci
73	3532	pred_lci-common_pred_lci
73	3533	pred_lci-common_pred_lci
73	3534	pred_lci-common_pred_lci
73	3535	pred_lci-common_pred_lci
73	3536	pred_lci-common_pred_lci
73	3537	pred_lci-common_pred_lci
73	3538	pred_lci-common_pred_lci
73	3539	pred_lci-common_pred_lci
73	3540	pred_lci-common_pred_lci
73	3541	pred_lci-common_pred_lci
73	3542	pred_lci-common_pred_lci
73	3543	pred_lci-common_pred_lci
73	3544	pred_lci-common_pred_lci
73	3545	pred_lci-common_pred_lci
73	3546	pred_lci-common_pred_lci
73	3547	pred_lci-common_pred_lci
73	3548	pred_lci-common_pred_lci
73	3553	pred_lci-common_pred_lci
73	5924	pred_lci-common_pred_lci
73	5953	pred_lci-common_pred_lci
73	12648	pred_lci-common_pred_lci
74	3531	disease-common_pred_lci
74	3532	disease-common_pred_lci
74	3533	disease-common_pred_lci
74	3534	disease-common_pred_lci
74	3535	disease-common_pred_lci
74	3536	disease-common_pred_lci
74	3537	disease-common_pred_lci
74	3538	disease-common_pred_lci
74	3539	disease-common_pred_lci
74	3540	disease-common_pred_lci
74	3541	disease-common_pred_lci
74	3542	disease-common_pred_lci
74	3543	disease-common_pred_lci
74	3544	disease-common_pred_lci
74	3545	disease-common_pred_lci
74	3546	disease-common_pred_lci
74	3547	disease-common_pred_lci
74	3548	disease-common_pred_lci
