Disease ID,Disease Name,Recall-at-100,Recall-at-25,AUROC,Mean Average Precision,Ranks,Nodes
DB06589,DB06589,0.2,0.0,0.9446489070404234,0.008634474058989823,378.5,2856.9
DB04522,DB04522,0.0,0.0,0.7180955254363164,0.0007604362004952818,2905.5384615384614,3734.3846153846152
DB03796,DB03796,0.0,0.0,0.4952429572562306,4.640801930573604e-05,4783.8,4664.2
DB06216,DB06216,0.25,0.0,0.6180808338750116,0.008083215563618618,1301.9473684210527,1408.7894736842106
DB00246,DB00246,0.18333333333333332,0.18333333333333332,0.5881308440151093,0.01869956425411149,1274.6,1505.56
DB00726,DB00726,0.2,0.03333333333333333,0.5927522097865292,0.004729106833782529,1416.9166666666667,1651.8333333333333
DB00078,DB00078,0.9,0.6,0.9490380598746808,0.07872947946171596,219.83333333333334,1450.4166666666667
DB00396,DB00396,0.0,0.0,0.7705573861790505,0.0010225007837094944,1982.5,2440.5
DB05492,DB05492,0.1,0.05,0.5466964492921791,0.004294777909385149,1484.1666666666667,1397.1666666666667
DB00661,DB00661,0.45,0.1,0.7212879561704895,0.01956822964709529,1589.6315789473683,1704.7894736842106
DB00546,DB00546,0.8,0.7,0.8992654567396956,0.1247209458832266,564.2307692307693,1747.5384615384614
DB00313,DB00313,0.15,0.1,0.656565140681586,0.013330278822658642,3811.5789473684213,4613.526315789473
DB05147,DB05147,0.15,0.1,0.9921119208987095,0.012942225366782112,177.0,11981.266666666666
DB01873,DB01873,0.0,0.0,0.9379513598811844,0.004554723236524991,1441.7272727272727,10185.727272727272
DB04216,DB04216,0.0,0.0,0.8202023251133918,0.0007596320789884641,2878.125,3505.7083333333335
DB11148,DB11148,0.36666666666666664,0.1833333333333333,0.6790853998328225,0.020209319451647056,2391.0,2672.7391304347825
DB01065,DB01065,0.0,0.0,0.7206223604214044,0.0011283560649124305,2434.5,2543.4
DB00119,DB00119,0.0,0.0,0.49096922434201373,6.498156648788272e-05,5986.928571428572,5802.571428571428
DB08846,DB08846,0.0,0.0,0.5939525113731317,0.0005738927352755719,3174.4,2960.733333333333
DB00599,DB00599,0.65,0.65,0.8240996008539868,0.1566852305205302,400.54545454545456,1520.7272727272727
DB00334,DB00334,0.4916666666666666,0.35,0.7571506000774294,0.05451203422965133,947.125,1488.5
DB00277,DB00277,0.0,0.0,0.5557779789258691,0.00035949778113345964,6138.714285714285,5852.928571428572
DB04464,DB04464,0.03333333333333333,0.0,0.6778131240421678,0.0013232956479343613,2348.7916666666665,2440.9166666666665
DB02010,DB02010,0.0,0.0,0.7936200334199777,0.0011051922137866915,1847.2307692307693,3177.076923076923
DB00075,DB00075,1.0,0.4,0.9986154953114845,0.046061894149714136,31.466666666666665,1291.2
DB00139,DB00139,0.45,0.31666666666666665,0.7173226670382068,0.05271315250500691,4957.24,7215.36
DB04855,DB04855,0.5,0.45,0.7471645775301765,0.04761811829749807,648.0588235294117,717.0
DB00184,DB00184,0.6,0.6,0.7990160586651814,0.15002320465579416,1644.6363636363637,2068.818181818182
DB01174,DB01174,0.65,0.2,0.8223484496843669,0.04686043057852273,960.8461538461538,4955.846153846154
DB02379,DB02379,0.15,0.0,0.6154652458559688,0.003165969038568313,4518.8,5227.95
DB00568,DB00568,0.0,0.0,0.49734924098231276,7.427092644376604e-05,2211.75,2136.5
DB08231,DB08231,0.0,0.0,0.719078906636949,0.0011302131188917722,2612.190476190476,3753.6190476190477
DB00696,DB00696,0.3,0.3,0.647835522956223,0.04663732874315707,1181.5,1584.5
DB00852,DB00852,0.15,0.0,0.8075730138830849,0.004382718578741266,2068.9,3968.5
DB04799,DB04799,0.4,0.0,0.9946860351789113,0.009037559723892731,115.3,6121.4
DB11823,DB11823,0.8,0.4,0.8975193762472733,0.06254365918864195,409.5,5612.1
DB01373,DB01373,0.0,0.0,0.6284230197789953,0.0011120406116398138,2921.9473684210525,3279.5263157894738
DB03461,DB03461,0.2333333333333333,0.11666666666666665,0.7396747797544397,0.012897310421961475,2716.1428571428573,4412.428571428572
DB01069,DB01069,0.05,0.0,0.56251624431449,0.0010406300963452645,1708.5454545454545,1469.0
DB00193,DB00193,0.3,0.0,0.6472757228384463,0.008551510448328322,3515.4,4476.2
DB01109,DB01109,0.65,0.15,0.8220770480389883,0.07001829858812991,784.25,2397.1666666666665
DB00786,DB00786,0.45,0.15,0.7221688257417468,0.01831033814122487,3449.7,5332.2
DB09286,DB09286,0.4,0.4,0.6982665800343436,0.03981139459513322,921.7,1030.4
DB00996,DB00996,0.7,0.45,0.8480783512810991,0.09060873050834374,801.0769230769231,5146.7692307692305
DB01942,DB01942,0.0,0.0,0.641067947646895,0.0020035324154232285,4307.181818181818,4695.909090909091
DB00555,DB00555,0.4833333333333333,0.3,0.7384948197361084,0.06521150628294087,1419.909090909091,1941.5454545454545
DB00783,DB00783,0.0,0.0,0.7023415423963039,0.0014549009886687455,2089.3333333333335,3360.0
DB01142,DB01142,0.15,0.1,0.5718799331414244,0.012366021141629656,2727.7368421052633,2673.3684210526317
DB12141,DB12141,0.15,0.1,0.5694811977715877,0.008971078720973864,2836.5882352941176,3081.764705882353
DB00454,DB00454,0.2,0.0,0.6199805022979434,0.003475548731613845,2051.375,2414.25
DB06151,DB06151,0.4,0.1,0.8427437694342601,0.019955452284470605,1422.6,4421.2
DB06637,DB06637,0.75,0.35,0.8734600566309242,0.03219032238358068,970.6428571428571,2864.5714285714284
DB00116,DB00116,0.4,0.0,0.8916202543395526,0.008268945801785475,2745.909090909091,5704.0
DB00734,DB00734,0.25,0.25,0.622692879027017,0.02736784628445285,967.0,1313.2
DB00368,DB00368,0.5,0.1,0.7952680436296125,0.0350652434486748,1202.5833333333333,1137.1666666666667
DB00308,DB00308,0.25,0.25,0.6231698686714,0.015332005581425535,3573.0,3661.875
DB03814,DB03814,0.0,0.0,0.49336706275529146,6.0337533191168777e-05,5233.7692307692305,5050.538461538462
DB01645,DB01645,0.1,0.0,0.901545602227895,0.0033463878094009483,1037.0,3162.1666666666665
DB00243,DB00243,0.65,0.65,0.8240368995126479,0.11280098329513355,231.5,404.9166666666667
DB04137,DB04137,0.0,0.0,0.6899661205736296,0.0017967515932884016,4665.0,5521.8
DB04447,DB04447,0.0,0.0,0.48758063767577847,4.640801930573604e-05,4228.3,3892.6
DB01239,DB01239,0.0,0.0,0.49766767231376186,5.5693930935243474e-05,1773.5833333333333,1707.5
DB00182,DB00182,0.35,0.05,0.7687810483309346,0.0182522988186306,1763.9444444444443,1981.7777777777778
DB00421,DB00421,0.2,0.0,0.6531777364917171,0.0057971630507181095,3459.925925925926,3461.296296296296
DB09079,DB09079,0.0,0.0,0.9290782939620366,0.0024432249111112957,644.8,2279.1
DB00025,DB00025,0.2,0.0,0.8342337324793465,0.005447179089471654,921.7272727272727,3697.0
DB00945,DB00945,0.03333333333333333,0.0,0.8138390991409334,0.0017378197466389293,2044.2272727272727,3949.1363636363635
DB02494,DB02494,0.15,0.0,0.9151719816181589,0.009193691136732275,1206.9285714285713,5947.0
DB04315,DB04315,0.0,0.0,0.7670854242170801,0.0013909253485545148,3826.3142857142857,4928.542857142857
DB00721,DB00721,0.25,0.1,0.6226290502274626,0.0108010591611361,4145.4,4842.866666666667
DB00477,DB00477,0.0,0.0,0.5851996346353319,0.001079906901505326,2428.576923076923,2115.346153846154
DB03496,DB03496,0.0,0.0,0.9505035971223021,0.0017494613163164501,1119.9166666666667,1631.0
DB00988,DB00988,0.15,0.0,0.5690583948382305,0.0022186068763208867,2436.5,2695.714285714286
DB01159,DB01159,0.4333333333333333,0.4,0.7128028860296964,0.14177592195407537,3717.1785714285716,4989.678571428572
DB01592,DB01592,0.45,0.1,0.8194160787226142,0.014304064634591763,2606.230769230769,7754.0
DB00171,DB00171,0.0,0.0,0.655549617374601,0.0006505867979293437,3631.4615384615386,3529.6666666666665
DB00145,DB00145,0.05,0.0,0.6259351292769779,0.0026297549956142588,4320.333333333333,5265.851851851852
DB01388,DB01388,0.35,0.35,0.6738570964448158,0.05765153452484415,1912.3636363636363,2085.181818181818
DB10770,DB10770,0.1,0.0,0.8384131625359694,0.003909858664990029,764.4545454545455,2894.5454545454545
DB00144,DB00144,0.2,0.1,0.6918271685153385,0.007027344768441132,4920.5,8241.4
DB00163,DB00163,0.0,0.0,0.70020677350824,0.0008304806534657926,3535.6666666666665,4756.666666666667
DB01050,DB01050,0.0,0.0,0.7838631828096718,0.0018743744087361528,1639.0,2964.2
DB00170,DB00170,0.8,0.4,0.9479147326401783,0.040477547826843374,404.0769230769231,4204.7692307692305
DB00126,DB00126,0.05,0.0,0.5317029658524504,0.000936693947535733,8977.391304347826,10259.04347826087
DB12965,DB12965,0.1,0.0,0.5682419571979016,0.002821879183474531,3369.1875,3567.625
DB00674,DB00674,0.65,0.55,0.8238962907942993,0.09776594672777146,1102.75,1591.3125
DB00160,DB00160,0.0,0.0,0.4947874118083922,6.0337533191168777e-05,8921.23076923077,8828.0
DB11638,DB11638,0.0,0.0,0.8802523478081582,0.0021230870129242112,2377.230769230769,4365.7307692307695
DB06148,DB06148,0.16666666666666666,0.03333333333333333,0.5792715395808179,0.010080988633996686,2302.608695652174,2471.2608695652175
DB08818,DB08818,0.25,0.1,0.7165954977953122,0.01056410284870265,2952.0833333333335,4032.5
DB09061,DB09061,0.15,0.03333333333333333,0.5646800885503745,0.004772426037834903,4220.08,4831.52
DB00381,DB00381,0.35,0.25,0.6714353700436437,0.021045515306737296,2574.1052631578946,2684.0
DB04946,DB04946,0.0,0.0,0.4969321451777592,5.1050759660098336e-05,1645.3636363636363,1550.2727272727273
DB00675,DB00675,0.0,0.0,0.8076516874796897,0.000994501076821462,2050.875,3535.8125
