HGNC ID	NCBI gene ID	Ensembl gene ID
HGNC:87	27034	ENSG00000151498
HGNC:21497	28976	ENSG00000177646
HGNC:21597	80724	ENSG00000111271
HGNC:30211	84129	ENSG00000240303
HGNC:88	33	ENSG00000115361
HGNC:89	34	ENSG00000117054
HGNC:90	35	ENSG00000122971
HGNC:91	36	ENSG00000196177
HGNC:92	37	ENSG00000072778
HGNC:319	176	ENSG00000157766
HGNC:16467	9744	ENSG00000072818
HGNC:16469	23527	ENSG00000114331
HGNC:41426	100874306	ENSG00000229325
HGNC:16754	116983	ENSG00000131584
HGNC:93	38	ENSG00000075239
HGNC:94	39	ENSG00000120437
HGNC:15453	64746	ENSG00000182827
HGNC:40701	107985353	ENSG00000234478
HGNC:23337	79777	ENSG00000181513
HGNC:23338	91452	ENSG00000107897
HGNC:23339	84320	ENSG00000230124
HGNC:17715	414149	ENSG00000176244
HGNC:23989	84680	ENSG00000110455
HGNC:34391	390110	ENSG00000205126
HGNC:25070	65057	ENSG00000102977
HGNC:2707	1636	ENSG00000159640
HGNC:13557	59272	ENSG00000130234
HGNC:44365	100129123	ENSG00000224353
HGNC:18356	125981	ENSG00000167769
HGNC:23675	340485	ENSG00000177076
HGNC:54674	645978	ENSG00000180105
HGNC:16066	55331	ENSG00000078124
HGNC:108	43	ENSG00000087085
HGNC:17066	22985	ENSG00000100813
HGNC:4035	2532	ENSG00000213088
HGNC:1565	1238	ENSG00000144648
HGNC:23692	57007	ENSG00000144476
HGNC:1611	51554	ENSG00000129048
HGNC:21142	285737	ENSG00000225415
HGNC:115	47	ENSG00000131473
HGNC:19288	130013	ENSG00000153086
HGNC:34504	347275	ENSG00000227411
HGNC:117	48	ENSG00000122729
HGNC:118	50	ENSG00000100412
HGNC:33904	730249	ENSG00000102794
HGNC:33128	641371	ENSG00000184227
HGNC:18431	10965	ENSG00000119673
HGNC:19748	122970	ENSG00000177465
HGNC:33159	641372	ENSG00000205669
HGNC:24157	11332	ENSG00000097021
HGNC:15919	10005	ENSG00000101473
HGNC:17152	23597	ENSG00000123130
HGNC:18156	26027	ENSG00000162390
HGNC:24436	134526	ENSG00000172497
HGNC:20999	55856	ENSG00000112304
HGNC:119	51	ENSG00000161533
HGNC:120	8309	ENSG00000168306
HGNC:121	8310	ENSG00000087008
HGNC:25621	55289	ENSG00000153093
HGNC:41112	400997	ENSG00000204581
HGNC:122	52	ENSG00000143727
HGNC:123	53	ENSG00000134575
HGNC:125	55	ENSG00000014257
HGNC:14376	93650	ENSG00000142513
HGNC:124	54	ENSG00000102575
HGNC:29609	51205	ENSG00000162836
HGNC:33781	390928	ENSG00000183760
HGNC:126	49	ENSG00000100312
HGNC:17195	84519	ENSG00000111644
HGNC:54745	645529	ENSG00000175509
HGNC:127	56	ENSG00000134940
HGNC:29567	23205	ENSG00000103740
HGNC:24174	81616	ENSG00000130377
HGNC:26101	80221	ENSG00000167107
HGNC:27288	197322	ENSG00000176715
HGNC:3569	2180	ENSG00000151726
HGNC:3570	2181	ENSG00000123983
HGNC:40227	105373904	ENSG00000234193
HGNC:3571	2182	ENSG00000068366
