,common_interactor_score,common_interactor_score_pvalue,degree,frac_direct_interactions,frac_direct_interactions_pvalue
count,3927.0,3927.0,3927.0,3927.0,3927.0
mean,0.2874874889544803,0.1333781512605042,65.54596384008148,0.07589849320642031,0.5033919022154316
std,0.5049303482390035,0.2649526651778852,138.2704823884347,0.1355712013801518,0.46688782422897696
min,0.0,0.0,1.0,0.0,0.0
25%,0.033702587649249965,0.004,9.0,0.0,0.017
50%,0.11596042656214343,0.012,22.0,0.013422818791946308,0.316
75%,0.2967627281145594,0.0965,61.0,0.09375,1.0
max,3.809527975434629,1.0,2132.0,1.0,1.0
<= 0.05,,0.6788897377132671,,,0.35243188184364654
