node_id,degree,protein_id,protein_name,role
12818,21,51204,TACO1,disease
12716,94,51079,NDUFA13,disease
7039,40,9997,SCO2,disease
13064,8,51601,LIPT1,disease
20098,75,374291,NDUFS7,disease
14076,5,55572,FOXRED1,disease
3076,17,4508,MT-ATP6,disease
17383,14,79133,NDUFAF5,disease
14359,86,55967,NDUFA12,disease
19544,10,91942,NDUFAF2,disease
3555,58,5160,PDHA1,disease
4836,21,6834,SURF1,disease
11390,8,5428,POLG,disease
3093,11,4537,MT-ND3,disease
3096,30,4540,MT-ND5,disease
17934,4,80704,SLC19A3,disease
1241,113,1738,DLD,disease
977,12,1355,COX15,disease
12118,2,137682,NDUFAF6,disease
3214,110,4695,NDUFA2,disease
3216,107,4697,NDUFA4,disease
3222,97,4704,NDUFA9,disease
3223,89,4705,NDUFA10,disease
1359,98,1892,ECHS1,disease
432,13,617,BCS1L,disease
3237,114,4719,NDUFS1,disease
3238,90,4720,NDUFS2,disease
3239,106,4722,NDUFS3,disease
3240,108,4723,NDUFV1,disease
3241,97,4724,NDUFS4,disease
4462,94,6389,SDHA,disease
17583,5,79731,NARS2,disease
3244,89,4728,NDUFS8,disease
3245,86,4729,NDUFV2,disease
20886,2,123263,MTFMT,disease
3225,58,4707,NDUFB1,pred_lci
252,2132,351,APP,common_pred_lci
5249,111,7381,UQCRB,common_pred_lci
5252,120,7384,UQCRC1,common_pred_lci
5253,193,7385,UQCRC2,common_pred_lci
5254,132,7386,UQCRFS1,common_pred_lci
5255,92,7388,UQCRH,common_pred_lci
11268,134,27089,UQCRQ,common_pred_lci
12680,179,51026,GOLT1B,common_pred_lci
3082,73,4519,MT-CYB,common_pred_lci
3213,60,4694,NDUFA1,common_pred_lci
3215,61,4696,NDUFA3,common_pred_lci
3217,72,4698,NDUFA5,common_pred_lci
3218,62,4700,NDUFA6,common_pred_lci
3091,83,4535,MT-ND1,common_pred_lci
3092,63,4536,MT-ND2,common_pred_lci
3219,119,4701,NDUFA7,common_pred_lci
3220,80,4702,NDUFA8,common_pred_lci
3095,54,4539,MT-ND4L,common_pred_lci
3097,56,4541,MT-ND6,common_pred_lci
3224,87,4706,NDUFAB1,common_pred_lci
3226,58,4708,NDUFB2,common_pred_lci
3227,58,4709,NDUFB3,common_pred_lci
3228,79,4710,NDUFB4,common_pred_lci
3229,75,4711,NDUFB5,common_pred_lci
3230,67,4712,NDUFB6,common_pred_lci
3231,75,4713,NDUFB7,common_pred_lci
3232,92,4714,NDUFB8,common_pred_lci
3233,95,4715,NDUFB9,common_pred_lci
3234,77,4716,NDUFB10,common_pred_lci
3235,52,4717,NDUFC1,common_pred_lci
3236,59,4718,NDUFC2,common_pred_lci
3242,80,4725,NDUFS5,common_pred_lci
3243,85,4726,NDUFS6,common_pred_lci
3246,79,4731,NDUFV3,common_pred_lci
11694,80,29796,UQCR10,common_pred_lci
12881,112,51295,ECSIT,common_pred_lci
21206,64,126328,NDUFA11,common_pred_lci
1120,146,1537,CYC1,common_pred_lci
1507,65,2110,ETFDH,common_pred_lci
7787,73,10975,UQCR11,common_pred_lci
13458,67,54539,NDUFB11,common_pred_lci
9069,110,19345,,common_pred_lci
3094,48,4538,MT-ND4,common_pred_lci
1521,698,2130,EWSR1,common_pred_lci
2356,246,3396,MRPL58,common_pred_lci
15185,36,59287,,common_pred_lci
12885,55,51300,TIMMDC1,common_pred_lci
3041,48,4358,MPV17,common_pred_lci
363,100,515,ATP5PB,common_pred_lci
3620,311,5250,SLC25A3,common_pred_lci
10451,60,23788,MTCH2,common_pred_lci
1466,39,133121,ENPP6,common_pred_lci
16594,60,69253,,common_pred_lci
5948,85,8649,LAMTOR3,common_pred_lci
7430,459,10492,SYNCRIP,common_pred_lci
5278,166,7419,VDAC3,common_pred_lci
1158,29,1604,CD55,common_pred_lci
14476,116,56334,,common_pred_lci
19662,117,93380,MMGT1,common_pred_lci
342,102,483,ATP1B3,common_pred_lci
5523,182,7879,RAB7A,common_pred_lci
13462,18,54543,TOMM7,common_pred_lci
6292,86,9114,ATP6V0D1,common_pred_lci
964,67,1327,COX4I1,common_pred_lci
8044,325,11331,PHB2,common_pred_lci
588,110,823,CAPN1,common_pred_lci
4091,151,5878,RAB5C,common_pred_lci
2303,163,3305,HSPA1L,common_pred_lci
7608,38,10730,YME1L1,common_pred_lci
10820,39,25915,NDUFAF3,common_pred_lci
11542,64,28976,ACAD9,common_pred_lci
10520,107,24140,FTSJ1,common_disease
6460,67,9351,SLC9A3R2,common_disease
11574,14,29078,NDUFAF4,common_disease
12738,39,51103,NDUFAF1,common_disease
369,54,522,ATP5PF,common_disease
6370,224,9218,VAPA,common_disease
5193,1647,7316,UBC,common_disease
4226,243,6059,ABCE1,common_disease
7096,461,10075,HUWE1,common_disease
2763,135,3981,LIG4,common_disease
204,207,293,SLC25A6,common_disease
8507,79,15194,,common_disease
7754,55,10939,AFG3L2,common_disease
14315,15,55863,TMEM126B,common_disease
11430,68,27429,HTRA2,common_disease
2313,123,3316,HSPB2,common_disease
14077,44,55573,CDV3,common_disease
5796,1228,8452,CUL3,common_disease
3325,193,4841,NONO,common_disease
4719,55,6697,SPR,common_disease
3664,37,5303,PIN4,common_disease
7408,36,10469,TIMM44,common_disease
12754,57,51119,SBDS,common_disease
7261,79,10277,UBE4B,common_disease
15064,60,57794,SUGP1,common_disease
3628,45,5261,PHKG2,common_disease
2486,254,3611,ILK,common_disease
3794,99,5479,PPIB,common_disease
20762,145,121441,NEDD1,common_disease
3138,583,4609,MYC,common_disease
375,67,529,ATP6V1E1,common_disease
5029,140,7082,TJP1,common_disease
7659,60,10801,SEPT9,common_disease
1177,41,1629,DBT,common_disease
5102,92,7167,TPI1,common_disease
11026,622,26270,FBXO6,common_disease
19204,28,89941,RHOT2,common_disease
6275,92,9093,DNAJA3,common_disease
302,366,409,ARRB2,common_disease
7420,1153,10482,NXF1,common_disease
3031,1178,4343,MOV10,common_disease
4526,455,6472,SHMT2,common_disease
356,158,506,ATP5F1B,common_disease
7414,47,10476,ATP5PD,common_disease
359,194,509,ATP5F1C,common_disease
4698,441,6667,SP1,common_disease
354,213,498,ATP5F1A,common_disease
382,106,539,ATP5PO,common_disease
17191,44,339229,OXLD1,common_disease
18707,102,84545,MRPL43,common_disease
4463,90,6390,SDHB,common_disease
340,78,481,ATP1B1,common_disease
14671,52,56993,TOMM22,common_disease
11583,109,29088,MRPL15,common_disease
14301,30,55847,CISD1,common_disease
16363,77,67809,,common_disease
5277,191,7417,VDAC2,common_disease
7797,271,10989,IMMT,common_disease
8156,137,12166,,common_disease
3557,67,5162,PDHB,common_disease
3558,52,5163,PDK1,common_disease
3560,23,5165,PDK3,common_disease
7051,259,10013,HDAC6,common_disease
13036,666,51547,SIRT7,common_disease
5587,35,8050,PDHX,common_disease
2740,167,3939,LDHA,common_disease
3380,1965,4914,NTRK1,common_disease
4792,82,6777,STAT5B,common_disease
8505,28,15185,,common_disease
3412,52,4967,OGDH,common_disease
1240,42,1737,DLAT,common_disease
2538,529,3676,ITGA4,common_disease
109,276,154,ADRB2,common_disease
3856,181,5564,PRKAB1,common_disease
5274,182,7414,VCL,common_disease
11531,42,28960,DCPS,common_disease
215,52,311,ANXA11,common_disease
3045,51,4363,ABCC1,common_disease
10753,36,25813,SAMM50,common_disease
4059,72,5825,ABCD3,common_disease
4760,103,6742,SSBP1,common_disease
7392,117,10452,TOMM40,common_disease
1676,792,2335,FN1,common_disease
6458,396,9349,RPL23,common_disease
12996,63,51477,ISYNA1,common_disease
1800,38,2639,GCDH,common_disease
11241,65,27034,ACAD8,common_disease
2091,122,3028,HSD17B10,common_disease
14219,46,55748,CNDP2,common_disease
1972,1081,2885,GRB2,common_disease
26,88,34,ACADM,common_disease
28,47,36,ACADSB,common_disease
6307,92,9131,AIFM1,common_disease
1716,354,2521,FUS,common_disease
11559,101,28998,MRPL13,common_disease
3450,82,5019,OXCT1,common_disease
1628,93,2271,FH,common_disease
164,94,230,ALDOC,common_disease
6074,50,8803,SUCLA2,common_disease
15406,32,64064,OXCT2,common_disease
6072,60,8801,SUCLG2,common_disease
6073,35,8802,SUCLG1,common_disease
30,80,38,ACAT1,common_disease
5668,306,8266,UBL4A,common_disease
4293,239,6169,RPL38,common_disease
904,47,1244,ABCC2,common_disease
22,54,30,ACAA1,common_disease
994,57,1374,CPT1A,common_disease
8166,61,12261,,common_disease
2485,463,3609,ILF3,common_disease
6114,171,8848,TSC22D1,common_disease
4219,756,6045,RNF2,common_disease
2310,264,3313,HSPA9,common_disease
11314,140,27161,AGO2,common_disease
8032,81,11315,PARK7,common_disease
203,335,292,SLC25A5,common_disease
7794,234,10985,GCN1,common_disease
3003,157,4311,MME,common_disease
10206,36,23410,SIRT3,common_disease
2155,333,3106,HLA-B,common_disease
891,355,1213,CLTC,common_disease
10955,317,26123,TCTN3,common_disease
3418,37,4976,OPA1,common_disease
1394,926,1956,EGFR,common_disease
5276,227,7416,VDAC1,common_disease
1419,1866,1994,ELAVL1,common_disease
17941,44,80724,ACAD10,common_disease
3484,426,5071,PRKN,common_disease
6884,649,9820,CUL7,common_disease
162,141,226,ALDOA,common_disease
6712,392,9641,IKBKE,common_disease
5272,446,7412,VCAM1,common_disease
335,160,476,ATP1A1,common_disease
10450,51,23787,MTCH1,common_disease
2923,59,4191,MDH2,common_disease
4082,59,5869,RAB5B,common_disease
3079,69,4513,MT-CO2,common_disease
3618,356,5245,PHB,common_disease
7773,28,10960,LMAN2,common_disease
4464,20,6391,SDHC,common_disease
3348,86,4867,NPHP1,common_disease
6868,49,9804,TOMM20,common_disease
1022,147,1407,CRY1,common_disease
16650,401,200728,TMEM17,common_disease
7795,828,10987,COPS5,common_disease
3334,59,4853,NOTCH2,common_disease
15673,15,64757,MARC1,common_disease
1229,12,1723,DHODH,common_disease
8429,278,145508,CEP128,common_disease
