,common_interactor_score,common_interactor_score_pvalue,degree,frac_direct_interactions,frac_direct_interactions_pvalue
count,75744.0,75744.0,75744.0,75744.0,75744.0
mean,0.1649199069805545,0.29298183354457125,68.56940483734685,0.023709123371038573,0.5707622517955218
std,0.23949546468416238,0.3025595451735055,118.19615912759103,0.05200944015700549,0.42994266735003545
min,0.0,0.0,1.0,0.0,0.0
25%,0.028182489523568114,0.028,13.0,0.0,0.1
50%,0.08276057300102245,0.184,31.0,0.0035486160397444995,0.616
75%,0.19587220430637897,0.496,76.0,0.025,1.0
max,4.413287031342511,1.0,2132.0,0.9230769230769231,1.0
<= 0.05,,0.31173426277989014,,,0.1821398394592311
