node_id,degree,protein_id,protein_name,role
15048,3,57728,WDR19,disease
17631,2,79809,TTC21B,disease
19195,20,89891,WDR34,disease
13806,9,55112,WDR60,disease
13078,16,51626,DYNC2LI1,disease
17523,22,79659,DYNC2H1,disease
6807,8,9742,IFT140,disease
10976,7,26160,IFT172,disease
14922,6,57560,IFT80,disease
9556,93,153241,CEP120,disease
19557,5,92104,TTC30A,pred_lci
12094,115,167691,LCA5,common_pred_lci
13782,53,55081,IFT57,common_pred_lci
14614,8,56912,IFT46,pred_lci
5608,28,8100,IFT88,common_pred_lci
8429,278,145508,CEP128,common_pred_lci
9116,2,150737,TTC30B,pred_lci
17754,7,79989,TTC26,pred_lci
5344,1256,7514,XPO1,common_pred_lci
12733,4,51098,IFT52,pred_lci
14234,12,55764,IFT122,common_disease
20687,10,119710,C11orf74,common_disease
18141,60,81833,SPACA1,common_disease
18837,77,84866,TMEM25,common_disease
16236,15,67068,,common_disease
4949,136,6993,DYNLT1,common_disease
14502,67,56455,,common_disease
10107,403,23291,FBXW11,common_disease
6851,28,140858,,common_disease
7925,44,11151,CORO1A,common_disease
3514,269,5108,PCM1,common_disease
